IncidentId,OrgId,IncidentGrade,nb_alerts,nb_evidences,top_alert_title,top_category,top_detector,mitre_techniques,first_seen,last_seen,sample_ip,sample_sha256,sample_device_id,sample_device,sample_account,os_family,max_suspicion,country,last_verdict,threat_family,os_version_sample,antispam_direction,action_grouped,top_action_granular,nb_categories,nb_detectors,nb_entity_types,nb_unique_ips,nb_unique_devices,nb_unique_accounts,has_ip,has_account,has_device,has_file,has_email,has_impacted_entity,nb_impacted_entities,has_registry_activity,has_oauth_app,has_url,has_cloud_resource,nb_action_types,incident_duration_minutes,hour_of_day,day_of_week,is_weekend,is_business_hours,is_after_midnight,alerts_per_min,nb_multi_entity_score,multi_entity,nb_mitre_techniques,max_suspicion_num,os_eol,is_outbound_spam
168,101,TruePositive,2414,9936,1,InitialAccess,1,T1586|T1566.002|T1566|T1078;T1078.004|T1078.004|T1110;T1110.003;T1110.001|T1564.008|T1557;T1539;T1598|T1564;T1564.008|T1534,2024-06-02 18:24:38+00:00,2024-06-07 07:35:18+00:00,360606,138268,98799,153085,297203,5,,242,Malicious,,66,Intraorg,ContainAccount,change user password.,5,12,10,16,1,308,1,1,1,1,1,1,353,1,1,1,0,1,6550.666666666667,18,6,1,1,0,0.3684558636479267,2,1,10,0.0,0,0
177,0,TruePositive,9249,9907,0,InitialAccess,0,T1078;T1078.004|T1534|T1078.004|T1110;T1110.003;T1110.001|T1110.004;T1110.003|T1589;T1589.001|T1557;T1110;T1212;T1539,2024-06-02 16:26:44+00:00,2024-06-05 19:58:39+00:00,360606,138268,98799,153085,453297,5,,242,NoThreatsFound,,66,Outbound,,,3,8,6,130,1,145,1,1,1,1,1,1,170,1,1,1,0,0,4531.916666666667,16,6,1,1,0,2.0404081257468514,2,1,7,0.0,0,1
204,0,TruePositive,9105,9674,0,InitialAccess,0,T1078;T1078.004|T1110;T1110.003|T1078.004|T1110;T1110.003;T1110.001|T1110.004;T1110.003|T1589;T1589.001,2024-06-02 04:01:30+00:00,2024-06-04 21:25:06+00:00,360606,138268,98799,153085,453297,5,,242,Malicious,,66,,,,2,7,5,106,1,156,1,1,1,1,1,1,167,1,1,1,0,0,3923.6,4,6,1,0,1,2.319981654181318,2,1,6,0.0,0,0
207,5167,FalsePositive,11,11,0,InitialAccess,0,T1078;T1078.004,2024-06-06 19:01:03+00:00,2024-06-13 15:56:35+00:00,360606,138268,98799,153085,453297,5,,242,,,66,,,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,9895.533333333333,19,3,0,0,0,0.0011115003233455488,0,0,1,0.0,0,0
209,380,BenignPositive,1,1,2662,CredentialAccess,1486,,2024-06-01 10:12:07+00:00,2024-06-01 10:12:07+00:00,1319,138268,98799,153085,453297,5,,242,,,66,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0.0,10,5,1,1,0,1.0,0,0,0,0.0,0,0
218,0,TruePositive,8832,9442,0,InitialAccess,0,T1078;T1078.004|T1110;T1110.003;T1110.001|T1110;T1110.003|T1589;T1589.001|T1110.004;T1110.003,2024-06-03 06:43:19+00:00,2024-06-06 05:56:58+00:00,13570,138268,98799,153085,453297,5,,5,Malicious,,66,,,,2,7,5,97,1,153,1,1,1,1,1,1,168,1,1,1,0,0,4273.65,6,0,0,0,0,2.066134069455979,2,1,5,0.0,0,0
221,127,TruePositive,8797,9398,0,InitialAccess,0,T1078;T1078.004|T1110;T1110.003;T1110.001|T1110;T1110.003|T1589;T1589.001,2024-06-01 19:06:24+00:00,2024-06-08 03:24:49+00:00,360606,138268,98799,153085,453297,5,,242,Malicious,,66,,,,3,7,5,141,1,62,1,1,1,1,1,1,180,1,1,1,0,0,9138.416666666666,19,5,1,0,0,0.9625340785790487,2,1,4,0.0,0,0
227,0,TruePositive,8695,9268,0,InitialAccess,0,T1078;T1078.004|T1110;T1110.003;T1110.001|T1078.004|T1110|T1110;T1110.003,2024-06-08 03:19:35+00:00,2024-06-10 14:27:37+00:00,360606,138268,98799,153085,1368,5,,242,,,66,,,,2,7,5,96,1,148,1,1,1,1,1,1,167,1,1,1,0,0,3548.0333333333333,3,5,1,0,1,2.4499629006959642,2,1,5,0.0,0,0
239,0,TruePositive,8295,8898,0,InitialAccess,0,T1078;T1078.004|T1110;T1110.003;T1110.001|T1078.004|T1110;T1110.003,2024-06-05 22:43:30+00:00,2024-06-08 11:58:53+00:00,174,138268,98799,153085,453297,5,,1,,,66,,,,2,7,5,122,1,143,1,1,1,1,1,1,158,1,1,1,0,0,3675.383333333333,22,2,0,0,0,2.256293549366905,2,1,4,0.0,0,0
251,268,TruePositive,7284,8223,4,SuspiciousActivity,3,,2024-06-06 22:36:12+00:00,2024-06-17 06:43:49+00:00,360606,1092,98799,153085,453297,5,Suspicious,242,Suspicious,,66,,,,1,1,5,107,56,54,1,1,1,1,1,1,176,1,1,1,0,0,10080.0,22,3,0,0,0,0.7225473663327051,3,1,0,0.0,0,0
257,271,FalsePositive,3886,7999,2392,Exfiltration,144,T1566.002,2024-06-10 12:55:51+00:00,2024-06-11 11:41:36+00:00,360606,138268,98799,153085,453297,5,,242,Malicious,,66,Inbound,,,2,3,6,34,34,34,1,1,1,1,1,1,429,1,1,1,0,0,1365.75,12,0,0,1,0,2.843241265776477,3,1,1,0.0,0,0
268,0,TruePositive,7230,7691,0,InitialAccess,0,T1078;T1078.004|T1110;T1110.003;T1110.001|T1589;T1589.001,2024-06-02 21:22:44+00:00,2024-06-05 14:24:36+00:00,3,138268,98799,153085,453297,5,,4,,,66,,ContainAccount,update stsrefreshtokenvalidfrom timestamp.,2,6,4,81,1,127,1,1,1,1,1,1,135,1,1,1,0,1,3901.866666666667,21,6,1,0,0,1.852484498573698,2,1,3,0.0,0,0
270,1184,FalsePositive,9,9,153,CredentialAccess,182,T1528|T1566,2024-06-03 15:50:42+00:00,2024-06-14 08:58:06+00:00,360606,138268,98799,153085,453297,5,,242,,,66,,,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,10080.0,15,0,0,1,0,0.000892768574546176,0,0,2,0.0,0,0
284,4,FalsePositive,302,7161,7,InitialAccess,8,T1133|T1566,2024-05-30 18:54:10+00:00,2024-06-06 18:31:06+00:00,360606,138268,98799,85,453297,5,,242,,,66,,,,2,3,4,2,1,3,1,1,1,1,1,1,430,1,1,1,0,0,10056.933333333332,18,3,0,1,0,0.030026049088944715,2,1,2,0.0,0,0
296,7,FalsePositive,431,6731,146,Impact,21,T1564.003,2024-06-01 02:34:16+00:00,2024-06-12 21:32:39+00:00,5570,138268,98799,153085,453297,5,,242,,,66,,,,2,2,2,359,2,1,1,1,1,1,1,1,1,1,1,1,0,0,10080.0,2,5,1,0,1,0.04275369506993354,2,1,1,0.0,0,0
306,5,TruePositive,6012,6438,3,InitialAccess,4,T1534|T1078;T1078.004|T1110;T1110.003;T1110.001|T1539|T1557;T1110;T1212;T1539|T1078.004|T1110;T1110.003|T1589;T1589.001,2024-06-02 13:45:03+00:00,2024-06-05 21:12:31+00:00,9349,138268,98799,153085,453297,5,,7,Malicious,,66,Outbound,ContainAccount,change user password.,5,11,7,107,1,48,1,1,1,1,1,1,124,1,1,1,0,1,4767.466666666666,13,6,1,1,0,1.2607826415199856,2,1,8,0.0,0,1
315,0,TruePositive,5810,6230,0,InitialAccess,0,T1078;T1078.004|T1110;T1110.003;T1110.001|T1078.004,2024-06-04 23:51:12+00:00,2024-06-07 18:41:07+00:00,360606,138268,98799,153085,453297,5,,242,,,66,,,,2,6,5,87,1,105,1,1,1,1,1,1,115,1,1,1,0,0,4009.9166666666665,23,1,0,0,0,1.448546674700297,2,1,3,0.0,0,0
326,88,FalsePositive,4962,5788,43,Exfiltration,58,T1566.001,2024-06-04 16:25:28+00:00,2024-06-17 12:24:06+00:00,360606,138268,98799,153085,453297,5,,242,NoThreatsFound,,66,Inbound,ContainAccount,update stsrefreshtokenvalidfrom timestamp.,3,4,4,2,1,136,1,1,1,1,1,1,325,1,1,1,0,1,10080.0,16,1,0,1,0,0.4922130740997917,2,1,1,0.0,0,0
338,0,TruePositive,5099,5450,0,InitialAccess,0,T1078;T1078.004|T1110;T1110.003;T1110.001|T1110|T1589;T1589.001,2024-06-04 19:28:45+00:00,2024-06-07 03:20:45+00:00,360606,138268,98799,153085,752,5,,242,,,66,,,,2,6,4,52,1,90,1,1,1,1,1,1,99,1,1,1,0,0,3352.0,19,1,0,0,0,1.5207277065314644,2,1,4,0.0,0,0
340,53,FalsePositive,925,5387,94,InitialAccess,116,T1190;T1133|T1003;T1012;T1552.002|T1078;T1078.004,2024-05-21 16:27:20+00:00,2024-06-14 10:41:38+00:00,360606,138268,98799,153085,453297,5,Suspicious,242,NoThreatsFound,,66,Inbound,,,3,5,6,142,2,2,1,1,1,1,1,1,11,1,1,1,1,0,10080.0,16,1,0,1,0,0.09175677016169032,3,1,3,0.0,0,0
342,117,TruePositive,5009,5381,0,InitialAccess,0,T1078;T1078.004|T1110.004;T1110.003|T1110;T1110.003;T1110.001|T1110;T1110.003|T1070.008|T1078.004,2024-06-01 16:44:08+00:00,2024-06-04 15:12:51+00:00,360606,138268,98799,153085,747,5,,242,Malicious,,66,,,,3,7,5,88,1,49,1,1,1,1,1,1,100,1,1,1,0,0,4228.716666666666,16,5,1,1,0,1.1842400791227152,2,1,6,0.0,0,0
345,196,TruePositive,1518,5318,87,Discovery,109,T1595,2024-05-24 00:40:30+00:00,2024-06-10 21:40:19+00:00,2575,138268,98799,153085,453297,5,,242,,,66,,,,2,2,3,186,2,1,1,1,1,1,1,1,25,1,1,1,0,0,10080.0,0,4,0,0,1,0.150580299573455,2,1,1,0.0,0,0
394,303,TruePositive,4169,4454,0,InitialAccess,0,T1078;T1078.004|T1110;T1110.003;T1110.001|T1078.004,2024-05-31 07:17:59+00:00,2024-06-17 02:09:27+00:00,5452,138268,98799,153085,453297,5,,27,Suspicious,,66,,,,3,7,5,83,1,25,1,1,1,1,1,1,81,1,1,1,0,0,10080.0,7,4,0,0,0,0.4135502430314453,2,1,3,0.0,0,0
460,284,TruePositive,3233,3441,0,InitialAccess,0,T1078;T1078.004|T1110;T1110.003;T1110.001|T1110.004;T1110.003|T1110;T1110.003|T1557;T1110;T1212;T1539,2024-06-04 18:01:13+00:00,2024-06-17 01:34:46+00:00,3,138268,98799,153085,453297,5,,4,Malicious,,66,,ContainAccount,change user password.,4,10,5,74,1,23,1,1,1,1,1,1,69,1,1,1,0,1,10080.0,18,1,0,1,0,0.320702311278643,2,1,5,0.0,0,0
467,2358,FalsePositive,7,7,278,SuspiciousActivity,5,T1078;T1078.004,2024-06-06 00:52:50+00:00,2024-06-10 19:52:41+00:00,360606,138268,98799,153085,453297,5,,242,,,66,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,6899.85,0,3,0,0,1,0.001014367795271597,0,0,1,0.0,0,0
492,42,BenignPositive,2438,2933,28,Execution,43,T1027;T1204.002|T1059.003|T1027;T1027.002;T1027.005;T1105;T1204.002|T1027;T1027.002;T1027.005;T1105;T1204.002;T1546.008;T1546.012|T1027.002;T1027.005;T1059.003;T1105|T1489;T1543.003;T1569.002|T1036;T1036.003|T1053;T1053.005|T1007;T1016;T1018;T1049;T1082;T1087;T1135|T1078.003;T1098;T1136;T1136.001,2024-06-13 08:33:45+00:00,2024-06-14 02:55:30+00:00,360606,2107,98799,153085,453297,5,Suspicious,242,Suspicious,Mimikatz,66,,,,7,23,5,1,4,4,1,1,1,1,1,1,51,1,1,1,0,0,1101.75,8,3,0,1,0,2.2108365450011336,2,1,10,0.0,0,0
497,536,FalsePositive,2283,2846,2884,Exfiltration,409,T1566|T1078;T1078.004,2024-06-04 14:54:08+00:00,2024-06-17 03:39:57+00:00,360606,138268,98799,153085,453297,5,,242,NoThreatsFound,,66,Inbound,,,2,7,7,5,1,19,1,1,1,1,1,1,156,1,1,1,0,0,10080.0,14,1,0,1,0,0.22646562840987997,2,1,2,0.0,0,0
503,204,TruePositive,1179,2821,71,SuspiciousActivity,44,,2024-05-28 07:37:00+00:00,2024-06-13 18:32:14+00:00,360606,138268,98799,153085,453297,5,Suspicious,242,Suspicious,,66,,ContainAccount,account password changed,2,2,6,40,16,17,1,1,1,1,1,1,26,1,1,1,0,1,10080.0,7,1,0,0,0,0.11695268326554906,3,1,0,0.0,0,0
511,194,BenignPositive,2690,2696,116,Impact,137,T1485|T1110|T1566,2024-06-03 13:04:57+00:00,2024-06-11 22:45:34+00:00,24,138268,98799,153085,453297,5,,242,,,66,,,,2,2,2,3,1,2,1,1,1,1,1,1,1,1,1,1,0,0,10080.0,13,0,0,1,0,0.2668386072810237,2,1,3,0.0,0,0
529,1,TruePositive,2350,2534,0,InitialAccess,0,T1078;T1078.004|T1110;T1110.003;T1110.001|T1566|T1557;T1110;T1212;T1539,2024-06-02 00:48:38+00:00,2024-06-06 16:25:56+00:00,513,138268,98799,153085,453297,5,,0,Malicious,,66,,,,3,7,5,47,1,44,1,1,1,1,1,1,49,1,1,1,0,0,6697.3,0,6,1,0,1,0.3508352865652479,2,1,4,0.0,0,0
557,349,BenignPositive,1586,2333,206,Malware,31,T1566.001|T1204.001|T1204.002,2024-06-06 20:20:54+00:00,2024-06-16 09:42:59+00:00,360606,12305,98799,153085,453297,5,Suspicious,242,Malicious,Kuluoz,66,,,,5,6,4,2,16,2,1,1,1,1,1,1,24,1,1,1,0,0,10080.0,20,3,0,0,0,0.1573256621366928,3,1,3,0.0,0,0
627,7,FalsePositive,235,1811,10,Impact,22,T1021;T1021.004;T1105;T1204;T1204.002|T1566,2024-05-30 01:13:07+00:00,2024-06-11 16:44:48+00:00,4156,138268,98799,153085,453297,5,Suspicious,242,Suspicious,,66,Inbound,,,3,3,5,114,2,2,1,1,1,1,1,1,3,1,1,1,0,0,10080.0,1,3,0,0,1,0.023311179446483483,3,1,2,0.0,0,0
639,764,BenignPositive,198,372,1,InitialAccess,1,T1566.002|T1566,2024-06-05 06:56:15+00:00,2024-06-12 14:26:42+00:00,360606,138268,98799,153085,453297,5,Suspicious,242,NoThreatsFound,,66,Inbound,ContainAccount,change user password.,2,3,7,2,2,9,1,1,1,1,1,1,10,1,1,1,0,1,10080.0,6,2,0,0,0,0.019640908640015872,3,1,2,0.0,0,0
654,19,TruePositive,178,1806,16,CommandAndControl,23,,2024-05-30 02:42:17+00:00,2024-06-07 18:55:35+00:00,360606,138268,98799,153085,453297,5,,242,,,66,,,,2,2,3,37,1,2,1,1,1,1,1,1,1,1,1,1,0,0,10080.0,2,3,0,0,1,0.017656978474357703,2,1,0,0.0,0,0
656,570,BenignPositive,1604,1812,2,CommandAndControl,2,T1566.002|T1566,2024-06-03 05:34:48+00:00,2024-06-17 01:15:28+00:00,360606,138268,98799,153085,453297,5,Suspicious,242,Malicious,,66,Inbound,,,4,5,7,4,23,24,1,1,1,1,1,1,47,1,1,1,0,0,10080.0,5,0,0,0,1,0.15911119928578513,3,1,2,0.0,0,0
693,173,TruePositive,637,1492,1,InitialAccess,1,T1566.002|T1110,2024-06-01 20:42:00+00:00,2024-06-06 19:51:30+00:00,360606,138268,98799,153085,18579,5,Suspicious,242,NoThreatsFound,,66,Inbound,,,4,4,7,2,2,24,1,1,1,1,1,1,30,1,1,1,0,0,7149.5,20,5,1,0,0,0.08908467939304944,3,1,2,0.0,0,0
694,228,BenignPositive,7,11,8,InitialAccess,10,T1566.001,2024-06-06 11:39:41+00:00,2024-06-06 11:39:41+00:00,360606,138268,98799,153085,453297,5,,242,Malicious,,66,Inbound,,,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0.0,11,3,0,1,0,7.0,1,0,1,0.0,0,0
705,374,TruePositive,47,57,8,InitialAccess,10,T1566.001|T1566|T1110,2024-06-03 14:45:55+00:00,2024-06-12 11:55:32+00:00,360606,138268,98799,153085,453297,5,,242,Malicious,,66,Inbound,,,2,3,4,2,1,4,1,1,1,1,1,1,3,1,1,1,0,0,10080.0,14,0,0,1,0,0.004662235889296697,2,1,3,0.0,0,0
723,163,FalsePositive,197,1563,8,InitialAccess,10,T1566|T1566.001|T1566.001;T1204.002,2024-06-04 17:43:27+00:00,2024-06-06 04:38:34+00:00,360606,138268,98799,153085,66290,5,,242,NoThreatsFound,,66,Intraorg,,,2,4,6,2,2,58,1,1,1,1,1,1,73,1,1,1,0,0,2095.116666666667,17,1,0,1,0,0.09398331835855192,3,1,3,0.0,0,0
724,240,TruePositive,1326,1546,332,InitialAccess,332,T1190;T1133|T1105;T1570|T1110|T1078|T1030|T1566.001|T1020,2024-05-20 02:28:19+00:00,2024-06-13 09:49:59+00:00,41773,138268,98799,153085,453297,5,Suspicious,242,Suspicious,,66,Inbound,,,5,11,5,72,2,7,1,1,1,1,1,1,6,1,1,1,0,0,10080.0,2,0,0,0,1,0.1315345699831366,3,1,7,0.0,0,0
725,383,FalsePositive,958,1550,1,InitialAccess,1,T1566.002|T1078;T1078.004,2024-06-05 08:18:27+00:00,2024-06-12 19:54:54+00:00,360606,138268,98799,153085,453297,5,,242,NoThreatsFound,,66,Inbound,,,1,3,6,2,1,36,1,1,1,1,1,1,42,1,1,1,0,0,10080.0,8,2,0,1,0,0.09503025493502629,2,1,2,0.0,0,0
750,518,BenignPositive,1361,1470,63,Malware,31,T1183|T1059.003|T1007;T1016;T1018;T1049;T1082;T1087;T1135|T1053.005|T1016;T1047;T1482|T1021.002;T1047;T1550.002;T1569.002|T1218.004|T1546.001|T1546|T1055;T1055.001;T1055.002;T1055.003;T1055.004;T1055.005;T1055.012,2024-05-19 16:39:43+00:00,2024-06-17 13:37:33+00:00,360606,138268,98799,153085,453297,5,Suspicious,242,Suspicious,Impacket,66,,,,11,36,7,2,7,3,1,1,1,1,1,1,40,1,1,1,0,0,10080.0,16,6,1,1,0,0.13500644777303838,3,1,10,0.0,0,0
760,40,BenignPositive,1267,1446,100,CredentialAccess,36,,2024-06-07 17:20:42+00:00,2024-06-16 02:45:29+00:00,23820,138268,98799,153085,453297,5,Suspicious,242,Suspicious,,66,,ContainAccount,change user password.,3,3,5,16,22,22,1,1,1,1,1,1,34,1,1,1,0,1,10080.0,17,4,0,1,0,0.125681975994445,3,1,0,0.0,0,0
810,5,TruePositive,1255,1337,3,InitialAccess,4,T1078;T1078.004,2024-06-07 14:49:45+00:00,2024-06-08 15:30:21+00:00,360606,138268,98799,153085,453297,5,,242,,,66,,,,1,4,4,36,1,20,1,1,1,1,1,1,28,1,1,1,0,0,1480.6,14,4,0,1,0,0.8470572354211664,2,1,1,0.0,0,0
818,820,TruePositive,1188,1290,15,InitialAccess,19,T1078;T1078.004|T1110;T1110.003;T1110.001,2024-06-01 23:29:04+00:00,2024-06-17 05:46:42+00:00,43,138268,98799,153085,453297,5,,1,,,66,,,,2,6,5,15,1,5,1,1,1,1,1,1,26,1,1,1,0,0,10080.0,23,5,1,0,0,0.11784545184009523,2,1,2,0.0,0,0
819,58,FalsePositive,1108,1294,9,InitialAccess,11,T1566|T1078;T1078.004|T1595,2024-06-04 04:46:53+00:00,2024-06-09 03:26:19+00:00,360606,138268,98799,153085,23057,5,,242,,,66,,ContainAccount,update stsrefreshtokenvalidfrom timestamp.,2,3,5,2,1,57,1,1,1,1,1,1,57,1,1,1,1,1,7119.433333333333,4,1,0,0,1,0.15560850697289022,2,1,3,0.0,0,0
822,660,FalsePositive,1230,1291,1633,SuspiciousActivity,5,T1584|T1078;T1078.004|T1557;T1110;T1212;T1539,2024-06-03 02:37:50+00:00,2024-06-14 03:54:37+00:00,360606,138268,98799,153085,453297,5,,242,Malicious,,66,,,,4,5,6,23,1,3,1,1,1,1,1,1,58,1,1,1,0,0,10080.0,2,0,0,0,1,0.12201170518797738,2,1,3,0.0,0,0
830,132,BenignPositive,1049,1243,11,InitialAccess,13,T1566|T1078;T1078.004,2024-06-12 10:29:47+00:00,2024-06-13 16:55:26+00:00,360606,138268,98799,153085,453297,5,,242,Malicious,,66,Inbound,,,1,3,6,3,1,23,1,1,1,1,1,1,22,1,1,1,0,0,1825.65,10,2,0,1,0,0.5742753127309556,2,1,2,0.0,0,0
850,852,TruePositive,494,1211,24,CredentialAccess,623,T1078;T1098,2024-05-20 09:38:13+00:00,2024-06-15 15:42:36+00:00,352066,138268,98799,153085,453297,5,,242,,,66,,,,6,7,4,51,1,24,1,1,1,1,1,1,33,1,1,1,0,0,10080.0,9,0,0,1,0,0.04900307509175677,2,1,1,0.0,0,0
852,132,BenignPositive,11,11,11,InitialAccess,13,T1566|T1078;T1078.004,2024-06-06 17:32:15+00:00,2024-06-10 18:05:22+00:00,360606,138268,98799,153085,453297,5,,242,Malicious,,66,Inbound,,,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5793.116666666667,17,3,0,1,0,0.0018984774785917899,1,0,2,0.0,0,0
899,538,BenignPositive,871,1131,131,SuspiciousActivity,161,T1110|T1078;T1078.004,2024-06-03 04:23:56+00:00,2024-06-16 12:35:41+00:00,5005,138268,98799,153085,453297,5,Suspicious,242,Suspicious,,66,,,,2,3,5,5,12,21,1,1,1,1,1,1,69,1,1,1,1,0,10080.0,4,0,0,0,1,0.08640015871441326,3,1,2,0.0,0,0
904,2898,BenignPositive,22,26,2,CommandAndControl,2,,2024-06-04 04:23:58+00:00,2024-06-04 08:50:01+00:00,68108,138268,98799,153085,453297,5,Suspicious,242,Suspicious,CustomEnterpriseBlock,66,,,,2,2,4,2,2,2,1,1,1,1,1,1,2,1,1,1,0,0,266.05,4,1,0,0,1,0.08238157648380452,3,1,0,0.0,0,0
906,390,FalsePositive,726,1120,1,InitialAccess,1,T1566.002,2024-06-14 01:47:57+00:00,2024-06-15 10:57:18+00:00,360606,138268,98799,153085,28889,5,,242,NoThreatsFound,,66,Inbound,,,2,3,6,2,1,23,1,1,1,1,1,1,26,1,1,1,0,0,1989.35,1,4,0,0,1,0.36475996684000306,2,1,1,0.0,0,0
907,471,FalsePositive,238,1117,1,InitialAccess,1,T1566.002|T1485,2024-06-03 16:24:09+00:00,2024-06-12 15:03:56+00:00,360606,138268,98799,153085,453297,5,,242,Malicious,,66,Inbound,,,2,3,6,2,1,32,1,1,1,1,1,1,40,1,1,1,0,0,10080.0,16,0,0,1,0,0.023608768971332208,2,1,2,0.0,0,0
917,238,BenignPositive,696,1098,953,Malware,31,T1027;T1027.002;T1027.005;T1105;T1204.002|T1105;T1140;T1216;T1218;T1218.003;T1218.004;T1218.005;T1218.010;T1218.011;T1220|T1218.002|T1218.010|T1059.001;T1486|T1005;T1007;T1016;T1018;T1049;T1059.001;T1083;T1087;T1135|T1078;T1078.004|T1071,2024-06-05 00:24:38+00:00,2024-06-13 15:42:30+00:00,360606,28659,98799,153085,453297,5,Suspicious,242,Malicious,CVE,66,,ContainAccount,change user password.,9,13,6,3,2,3,1,1,1,1,1,1,12,1,1,1,0,1,10080.0,0,2,0,0,1,0.06904076976490428,3,1,8,0.0,0,0
