ioc_value,ioc_type,ti_score,ti_reputation,in_blocklist,nb_sources_flagging,ti_confidence,ti_first_seen_days_ago,ti_last_seen_days_ago,ti_trend,threat_categories,geo_country,actor_type,nb_campaigns
1095,ip,76,malicious,1,2,0.87,1368,105,stable,Ransomware,IR,cybercrime,3
1273,ip,83,malicious,1,3,0.82,157,37,decreasing,Phishing,BR,hacktivist,1
1355,ip,69,suspicious,1,2,0.5,3089,117,stable,Phishing,CN,cybercrime,1
1438,ip,87,malicious,1,4,0.59,3192,96,increasing,Phishing,CN,unknown,1
1516,ip,77,malicious,1,2,0.83,3241,59,stable,Phishing,US,unknown,1
1581,ip,83,malicious,1,3,0.47,666,171,stable,Scanner,CN,cybercrime,2
1661,ip,84,malicious,1,3,0.42,924,68,decreasing,Malware-C2,IR,cybercrime,5
1767,ip,83,malicious,1,4,0.69,2410,33,decreasing,Malware-C2,FR,cybercrime,5
1922,ip,66,suspicious,1,4,0.59,3360,100,stable,Malware-C2,NL,APT,5
1933,ip,97,malicious,1,4,0.52,2896,37,stable,Scanner,DE,hacktivist,1
1962,ip,79,malicious,1,2,0.43,1025,71,increasing,Phishing,CN,unknown,1
2012,ip,79,malicious,1,4,0.58,1510,130,stable,Botnet,DE,cybercrime,1
2125,ip,83,malicious,1,4,0.59,2028,31,stable,Scanner,RU,unknown,1
2156,ip,68,suspicious,1,4,0.81,1013,178,stable,Ransomware,IR,unknown,1
2171,ip,91,malicious,1,5,0.62,2695,160,stable,Phishing,US,cybercrime,4
2213,ip,81,malicious,1,4,0.59,2542,73,stable,Botnet,RU,cybercrime,1
2274,ip,85,malicious,1,5,0.41,2419,159,increasing,Botnet,NL,cybercrime,1
2284,ip,66,suspicious,1,4,0.47,3179,49,increasing,Botnet,FR,cybercrime,5
2454,ip,82,malicious,1,5,0.79,1978,138,stable,Scanner,CN,cybercrime,2
2484,ip,79,malicious,1,4,0.62,1607,123,increasing,Phishing,BR,cybercrime,4
2545,ip,87,malicious,1,3,0.87,3416,59,stable,Botnet,US,cybercrime,3
2586,ip,80,malicious,1,3,0.9,3483,166,decreasing,Scanner,FR,cybercrime,5
2601,ip,78,malicious,1,4,0.66,2285,82,increasing,Ransomware,CN,hacktivist,1
2610,ip,80,malicious,1,4,0.52,1496,118,decreasing,Scanner,CN,cybercrime,4
2696,ip,79,malicious,1,4,0.86,856,24,stable,Ransomware,KP,cybercrime,3
2773,ip,67,suspicious,1,4,0.63,561,72,decreasing,Ransomware,BR,APT,1
2781,ip,81,malicious,1,5,0.55,1738,159,stable,Phishing,NL,APT,3
2908,ip,85,malicious,1,4,0.68,2015,53,stable,Ransomware,BR,cybercrime,1
2998,ip,89,malicious,1,5,0.94,1169,57,stable,Malware-C2,RU,APT,4
3174,ip,84,malicious,1,3,0.86,2874,163,stable,Scanner,IR,cybercrime,3
3276,ip,91,malicious,1,3,0.89,1793,48,decreasing,Malware-C2,RU,hacktivist,1
3451,ip,77,malicious,1,2,0.43,827,0,stable,Scanner,RU,cybercrime,2
3567,ip,77,malicious,1,4,0.49,96,26,decreasing,Botnet,US,hacktivist,1
3944,ip,74,malicious,1,3,0.81,1439,105,stable,Botnet,US,APT,5
3997,ip,80,malicious,1,4,0.52,2282,37,stable,Scanner,RU,cybercrime,2
4132,ip,76,malicious,1,2,0.62,3004,125,increasing,Scanner,FR,APT,1
4253,ip,85,malicious,1,5,0.94,3488,157,increasing,Ransomware,FR,cybercrime,1
4298,ip,77,malicious,1,2,0.7,2067,69,stable,Scanner,RU,cybercrime,2
4325,ip,77,malicious,1,3,0.54,1052,75,stable,Malware-C2,DE,cybercrime,2
4530,ip,81,malicious,1,3,0.57,1905,81,stable,Phishing,RU,cybercrime,5
4642,ip,79,malicious,1,4,0.76,2840,30,decreasing,Malware-C2,US,cybercrime,3
4656,ip,77,malicious,1,3,0.72,785,83,stable,Malware-C2,CN,APT,3
4691,ip,71,malicious,1,3,0.5,283,24,decreasing,Malware-C2,IR,cybercrime,1
4737,ip,72,malicious,1,3,0.74,966,75,decreasing,Botnet,BR,cybercrime,2
4876,ip,60,suspicious,0,2,0.74,420,73,decreasing,,NL,APT,1
5206,ip,90,malicious,1,3,0.42,3637,37,stable,Phishing,BR,cybercrime,1
5249,ip,84,malicious,1,5,0.94,621,58,stable,Phishing,BR,hacktivist,1
5291,ip,80,malicious,1,4,0.47,2389,57,increasing,Scanner,BR,cybercrime,4
5305,ip,71,malicious,1,4,0.64,1491,144,decreasing,Ransomware,BR,cybercrime,1
5310,ip,78,malicious,1,3,0.71,1400,83,stable,Botnet,IR,cybercrime,2
5452,ip,86,malicious,1,4,0.49,345,90,stable,Ransomware,CN,cybercrime,3
5588,ip,76,malicious,1,3,0.85,939,174,stable,Scanner,FR,hacktivist,1
5682,ip,92,malicious,1,5,0.91,1432,165,increasing,Phishing,RU,unknown,1
5692,ip,92,malicious,1,3,0.81,551,153,stable,Botnet,RU,cybercrime,1
5703,ip,82,malicious,1,5,0.61,3207,153,increasing,Phishing,CN,cybercrime,3
5731,ip,76,malicious,1,3,0.93,279,173,decreasing,Scanner,DE,cybercrime,2
5828,ip,80,malicious,1,3,0.85,369,90,stable,Phishing,BR,cybercrime,1
5952,ip,72,malicious,1,3,0.63,469,21,stable,Botnet,CN,cybercrime,5
5959,ip,84,malicious,1,5,0.41,3431,93,stable,Phishing,CN,unknown,1
5987,ip,75,malicious,1,4,0.42,2258,104,stable,Phishing,CN,cybercrime,4
6114,ip,79,malicious,1,3,0.45,1868,170,stable,Botnet,BR,APT,3
6396,ip,83,malicious,1,5,0.75,3180,64,stable,Phishing,RU,cybercrime,5
6505,ip,75,malicious,1,3,0.42,3499,36,stable,Ransomware,BR,unknown,1
6533,ip,77,malicious,1,4,0.46,3056,50,decreasing,Malware-C2,CN,unknown,1
6727,ip,76,malicious,1,4,0.62,2071,142,increasing,Phishing,BR,unknown,1
6839,ip,86,malicious,1,3,0.93,729,16,decreasing,Malware-C2,NL,APT,3
6946,ip,86,malicious,1,5,0.92,2286,22,stable,Botnet,US,hacktivist,1
6955,ip,82,malicious,1,4,0.79,2789,86,stable,Scanner,IR,unknown,1
7413,ip,80,malicious,1,5,0.83,282,130,decreasing,Phishing,DE,APT,2
7488,ip,75,malicious,1,2,0.94,2986,39,stable,Ransomware,BR,APT,5
7493,ip,89,malicious,1,4,0.43,560,26,stable,Malware-C2,BR,APT,5
7568,ip,85,malicious,1,3,0.84,3150,111,decreasing,Ransomware,IR,cybercrime,4
7597,ip,73,malicious,1,3,0.92,1598,152,stable,Botnet,US,cybercrime,5
7642,ip,83,malicious,1,4,0.77,591,78,increasing,Ransomware,CN,cybercrime,1
7719,ip,77,malicious,1,4,0.67,391,95,stable,Phishing,US,APT,4
7807,ip,60,suspicious,0,3,0.63,1744,175,stable,,CN,cybercrime,1
7845,ip,78,malicious,1,3,0.66,3582,88,stable,Scanner,RU,APT,1
8005,ip,84,malicious,1,5,0.64,1664,114,decreasing,Ransomware,IR,cybercrime,4
8143,ip,82,malicious,1,5,0.6,3506,107,decreasing,Phishing,US,cybercrime,4
8604,ip,69,suspicious,1,2,0.81,1276,23,increasing,Botnet,FR,cybercrime,3
8652,ip,78,malicious,1,3,0.93,404,144,increasing,Malware-C2,CN,cybercrime,4
9044,ip,84,malicious,1,5,0.79,2775,150,stable,Malware-C2,US,unknown,1
9117,ip,82,malicious,1,3,0.47,2580,99,stable,Malware-C2,US,cybercrime,2
9143,ip,82,malicious,1,3,0.65,2975,79,increasing,Scanner,IR,cybercrime,1
9177,ip,82,malicious,1,4,0.53,3321,135,stable,Malware-C2,RU,cybercrime,2
9295,ip,84,malicious,1,5,0.53,1347,97,decreasing,Ransomware,US,cybercrime,2
9373,ip,77,malicious,1,3,0.74,3645,79,decreasing,Scanner,NL,unknown,1
9395,ip,88,malicious,1,3,0.66,1710,88,stable,Phishing,DE,APT,4
9491,ip,70,suspicious,1,4,0.84,821,12,decreasing,Scanner,BR,APT,3
9643,ip,77,malicious,1,3,0.55,3001,109,decreasing,Phishing,DE,cybercrime,1
9768,ip,84,malicious,1,3,0.43,712,113,stable,Scanner,NL,APT,2
10004,ip,74,malicious,1,2,0.85,3573,47,decreasing,Ransomware,FR,APT,4
10345,ip,70,suspicious,1,4,0.93,1008,101,stable,Botnet,US,cybercrime,1
10487,ip,80,malicious,1,4,0.61,2817,132,increasing,Scanner,RU,hacktivist,1
10673,ip,88,malicious,1,5,0.51,141,161,decreasing,Phishing,RU,unknown,1
10867,ip,79,malicious,1,3,0.5,630,35,stable,Phishing,BR,cybercrime,1
11014,ip,78,malicious,1,2,0.63,3587,117,decreasing,Phishing,CN,cybercrime,3
11054,ip,71,malicious,1,4,0.66,356,23,increasing,Botnet,US,hacktivist,1
11166,ip,84,malicious,1,3,0.84,3312,114,increasing,Botnet,CN,hacktivist,1
11491,ip,80,malicious,1,4,0.52,1467,72,stable,Scanner,RU,unknown,1
11499,ip,84,malicious,1,5,0.52,1433,165,decreasing,Botnet,CN,cybercrime,3
11551,ip,83,malicious,1,5,0.57,361,111,stable,Ransomware,NL,unknown,1
11602,ip,88,malicious,1,5,0.88,1610,33,stable,Phishing,NL,cybercrime,1
11706,ip,60,suspicious,0,4,0.68,869,121,stable,,KP,APT,1
11889,ip,74,malicious,1,3,0.54,2826,132,stable,Botnet,CN,unknown,1
12351,ip,83,malicious,1,4,0.8,2971,165,decreasing,Botnet,DE,unknown,1
12433,ip,94,malicious,1,4,0.45,2180,74,decreasing,Malware-C2,NL,unknown,1
12523,ip,79,malicious,1,2,0.89,2846,54,stable,Botnet,DE,unknown,1
12565,ip,82,malicious,1,4,0.41,1662,39,stable,Botnet,US,hacktivist,1
12625,ip,74,malicious,1,4,0.42,3157,151,decreasing,Botnet,RU,cybercrime,3
12736,ip,67,suspicious,1,2,0.89,2723,53,stable,Botnet,NL,unknown,1
12796,ip,98,malicious,1,3,0.93,1615,127,stable,Botnet,US,cybercrime,3
13077,ip,95,malicious,1,3,0.51,2337,3,decreasing,Scanner,IR,cybercrime,4
13438,ip,85,malicious,1,5,0.9,2474,165,stable,Scanner,CN,APT,2
13505,ip,88,malicious,1,4,0.94,260,15,increasing,Malware-C2,NL,APT,1
13843,ip,75,malicious,1,2,0.89,2302,55,stable,Ransomware,FR,hacktivist,1
13891,ip,75,malicious,1,3,0.49,1535,143,increasing,Phishing,CN,cybercrime,1
13902,ip,84,malicious,1,5,0.87,2504,158,stable,Malware-C2,IR,cybercrime,1
14195,ip,87,malicious,1,5,0.56,3594,102,increasing,Botnet,DE,cybercrime,4
14244,ip,98,malicious,1,5,0.78,493,111,stable,Ransomware,RU,cybercrime,3
14321,ip,71,malicious,1,2,0.52,1206,79,stable,Ransomware,NL,cybercrime,3
14441,ip,76,malicious,1,2,0.66,1972,89,stable,Ransomware,US,hacktivist,1
14534,ip,81,malicious,1,5,0.44,2691,73,stable,Phishing,BR,cybercrime,5
14616,ip,85,malicious,1,5,0.65,2149,32,increasing,Malware-C2,RU,cybercrime,5
14937,ip,82,malicious,1,3,0.8,2589,5,stable,Scanner,BR,hacktivist,1
14982,ip,76,malicious,1,2,0.75,1190,55,stable,Phishing,CN,cybercrime,1
15152,ip,83,malicious,1,5,0.87,1313,179,increasing,Ransomware,CN,cybercrime,1
15697,ip,81,malicious,1,5,0.94,3626,19,stable,Phishing,BR,cybercrime,2
15714,ip,86,malicious,1,4,0.86,820,54,stable,Botnet,BR,cybercrime,2
16036,ip,78,malicious,1,4,0.55,137,57,stable,Malware-C2,US,hacktivist,1
16140,ip,81,malicious,1,5,0.58,2734,76,increasing,Botnet,CN,cybercrime,3
16181,ip,68,suspicious,1,2,0.82,3594,99,increasing,Scanner,CN,cybercrime,1
16423,ip,81,malicious,1,5,0.43,237,166,increasing,Phishing,NL,cybercrime,2
16725,ip,83,malicious,1,4,0.64,1396,12,decreasing,Ransomware,RU,cybercrime,2
16819,ip,78,malicious,1,4,0.7,2488,27,increasing,Scanner,FR,unknown,1
17005,ip,70,suspicious,1,3,0.67,2042,54,stable,Ransomware,CN,unknown,1
17012,ip,85,malicious,1,4,0.41,2596,58,stable,Phishing,DE,cybercrime,2
17089,ip,81,malicious,1,3,0.46,2597,155,stable,Phishing,CN,hacktivist,1
17679,ip,77,malicious,1,3,0.63,303,31,decreasing,Phishing,CN,cybercrime,3
17684,ip,84,malicious,1,3,0.92,3376,91,stable,Malware-C2,BR,APT,5
18311,ip,83,malicious,1,3,0.44,2008,12,stable,Scanner,DE,unknown,1
18355,ip,75,malicious,1,2,0.81,2587,13,stable,Malware-C2,US,cybercrime,3
18394,ip,79,malicious,1,4,0.8,3538,4,increasing,Botnet,CN,cybercrime,5
18456,ip,76,malicious,1,3,0.52,2679,170,stable,Scanner,BR,unknown,1
18643,ip,74,malicious,1,4,0.54,346,124,decreasing,Phishing,RU,cybercrime,3
18742,ip,73,malicious,1,2,0.66,260,135,increasing,Ransomware,IR,cybercrime,1
18814,ip,74,malicious,1,4,0.65,2923,171,stable,Malware-C2,BR,cybercrime,2
18916,ip,74,malicious,1,2,0.78,557,23,increasing,Malware-C2,RU,APT,1
18919,ip,76,malicious,1,3,0.55,1553,5,stable,Botnet,FR,cybercrime,3
18975,ip,64,suspicious,1,3,0.65,906,58,decreasing,Botnet,IR,APT,2
19198,ip,77,malicious,1,2,0.68,2761,62,stable,Ransomware,NL,cybercrime,1
19278,ip,84,malicious,1,5,0.82,2195,162,stable,Botnet,DE,APT,1
19671,ip,75,malicious,1,4,0.64,154,172,increasing,Phishing,IR,unknown,1
20231,ip,88,malicious,1,4,0.86,1870,58,stable,Malware-C2,US,APT,1
20413,ip,79,malicious,1,4,0.55,2878,90,increasing,Phishing,BR,unknown,1
20662,ip,80,malicious,1,4,0.54,3215,90,decreasing,Malware-C2,CN,unknown,1
20845,ip,60,suspicious,0,3,0.69,3328,175,increasing,,IR,cybercrime,1
20906,ip,76,malicious,1,2,0.77,1687,32,stable,Botnet,IR,cybercrime,3
20959,ip,85,malicious,1,4,0.6,1702,18,stable,Scanner,CN,cybercrime,2
21252,ip,80,malicious,1,3,0.67,2020,22,increasing,Ransomware,RU,cybercrime,4
21574,ip,84,malicious,1,5,0.73,551,127,stable,Ransomware,IR,unknown,1
21773,ip,82,malicious,1,5,0.5,1946,80,increasing,Ransomware,BR,cybercrime,5
21920,ip,78,malicious,1,2,0.53,1225,49,increasing,Botnet,CN,APT,5
23008,ip,79,malicious,1,4,0.58,1237,58,increasing,Malware-C2,CN,cybercrime,2
23227,ip,81,malicious,1,4,0.68,3389,143,stable,Phishing,NL,unknown,1
23473,ip,81,malicious,1,4,0.64,3268,21,decreasing,Ransomware,IR,hacktivist,1
23563,ip,73,malicious,1,4,0.82,132,16,stable,Malware-C2,NL,APT,5
23822,ip,75,malicious,1,3,0.45,3127,135,stable,Botnet,RU,cybercrime,1
24971,ip,87,malicious,1,4,0.63,176,158,increasing,Scanner,KP,cybercrime,5
25005,ip,84,malicious,1,3,0.54,1524,67,increasing,Phishing,IR,cybercrime,5
25242,ip,75,malicious,1,4,0.54,2443,174,stable,Phishing,NL,cybercrime,3
25480,ip,77,malicious,1,3,0.85,620,54,increasing,Phishing,BR,cybercrime,5
25660,ip,100,malicious,1,6,0.43,1229,107,decreasing,Malware-C2,US,cybercrime,2
25756,ip,79,malicious,1,3,0.92,433,47,increasing,Scanner,IR,cybercrime,1
25901,ip,73,malicious,1,3,0.49,2602,18,decreasing,Ransomware,BR,cybercrime,3
26700,ip,85,malicious,1,4,0.45,3278,20,decreasing,Ransomware,IR,unknown,1
27473,ip,73,malicious,1,4,0.5,1518,99,increasing,Scanner,FR,cybercrime,5
27501,ip,84,malicious,1,4,0.59,2147,117,increasing,Ransomware,FR,APT,1
27668,ip,80,malicious,1,5,0.6,1168,156,increasing,Phishing,RU,APT,5
27757,ip,72,malicious,1,3,0.51,2542,47,stable,Botnet,IR,cybercrime,4
27997,ip,75,malicious,1,3,0.61,1057,105,decreasing,Botnet,BR,hacktivist,1
28127,ip,83,malicious,1,5,0.78,1566,96,stable,Scanner,RU,APT,3
28154,ip,73,malicious,1,4,0.68,295,130,decreasing,Phishing,DE,APT,4
29146,ip,80,malicious,1,4,0.88,163,6,stable,Ransomware,BR,hacktivist,1
30015,ip,82,malicious,1,3,0.59,686,126,increasing,Ransomware,RU,cybercrime,2
31037,ip,79,malicious,1,2,0.56,729,34,stable,Scanner,DE,hacktivist,1
31320,ip,87,malicious,1,3,0.8,2251,7,increasing,Scanner,BR,cybercrime,4
31635,ip,79,malicious,1,2,0.64,1774,16,stable,Botnet,US,cybercrime,4
32043,ip,88,malicious,1,4,0.44,3631,70,increasing,Botnet,IR,unknown,1
32446,ip,86,malicious,1,5,0.67,2246,165,increasing,Scanner,KP,APT,1
32604,ip,87,malicious,1,4,0.51,3599,22,stable,Malware-C2,US,cybercrime,1
32748,ip,89,malicious,1,5,0.48,2686,77,stable,Botnet,IR,cybercrime,2
34487,ip,87,malicious,1,3,0.44,621,93,increasing,Ransomware,FR,APT,5
34672,ip,87,malicious,1,5,0.45,3049,54,increasing,Malware-C2,BR,unknown,1
35190,ip,60,suspicious,0,4,0.84,1555,159,stable,,BR,cybercrime,1
36060,ip,82,malicious,1,4,0.43,1060,85,decreasing,Malware-C2,FR,hacktivist,1
36290,ip,77,malicious,1,2,0.69,1338,47,stable,Phishing,IR,cybercrime,4
36322,ip,80,malicious,1,3,0.88,773,108,increasing,Phishing,NL,cybercrime,1
36468,ip,67,suspicious,1,3,0.43,31,53,decreasing,Ransomware,RU,APT,4
40786,ip,88,malicious,1,4,0.82,3081,64,increasing,Botnet,BR,APT,5
41469,ip,78,malicious,1,3,0.71,452,110,stable,Phishing,NL,APT,3
41762,ip,81,malicious,1,3,0.71,902,134,stable,Botnet,BR,hacktivist,1
42944,ip,92,malicious,1,4,0.7,1521,165,increasing,Phishing,CN,unknown,1
44469,ip,76,malicious,1,4,0.47,358,35,stable,Scanner,BR,APT,5
45047,ip,60,suspicious,0,2,0.78,3087,113,stable,,NL,APT,1
45615,ip,86,malicious,1,3,0.78,695,172,stable,Malware-C2,US,cybercrime,3
47545,ip,79,malicious,1,3,0.49,23,36,stable,Botnet,DE,unknown,1
47860,ip,76,malicious,1,4,0.72,2127,62,stable,Ransomware,DE,cybercrime,3
48205,ip,74,malicious,1,3,0.73,2838,18,increasing,Scanner,BR,cybercrime,5
49083,ip,75,malicious,1,3,0.52,2161,2,decreasing,Ransomware,DE,APT,3
49859,ip,74,malicious,1,3,0.88,130,130,stable,Botnet,RU,cybercrime,4
50808,ip,80,malicious,1,3,0.92,1362,68,increasing,Phishing,RU,APT,2
54644,ip,88,malicious,1,5,0.82,1399,144,increasing,Scanner,DE,hacktivist,1
58343,ip,72,malicious,1,2,0.91,3400,159,stable,Scanner,CN,cybercrime,1
62119,ip,86,malicious,1,3,0.78,123,139,decreasing,Scanner,CN,cybercrime,3
62355,ip,76,malicious,1,3,0.69,3420,140,stable,Ransomware,KP,unknown,1
62845,ip,65,suspicious,1,2,0.86,1314,26,increasing,Scanner,CN,APT,4
67383,ip,76,malicious,1,4,0.74,1343,52,increasing,Scanner,BR,cybercrime,3
69494,ip,84,malicious,1,3,0.74,2304,110,stable,Ransomware,RU,hacktivist,1
76121,ip,94,malicious,1,5,0.61,1203,2,stable,Botnet,US,cybercrime,1
83311,ip,91,malicious,1,3,0.61,1925,8,increasing,Scanner,IR,cybercrime,3
85128,ip,73,malicious,1,3,0.75,2767,171,increasing,Phishing,RU,cybercrime,2
88564,ip,81,malicious,1,5,0.74,113,110,stable,Ransomware,US,cybercrime,4
92618,ip,87,malicious,1,3,0.45,1673,117,decreasing,Botnet,DE,cybercrime,3
92720,ip,80,malicious,1,3,0.7,578,111,stable,Scanner,RU,hacktivist,1
93674,ip,84,malicious,1,3,0.44,3052,129,increasing,Malware-C2,US,APT,5
96152,ip,88,malicious,1,4,0.62,3119,138,decreasing,Ransomware,RU,APT,2
99479,ip,73,malicious,1,3,0.45,1351,73,decreasing,Phishing,KP,unknown,1
102053,ip,77,malicious,1,4,0.42,2750,18,stable,Malware-C2,CN,cybercrime,5
104144,ip,83,malicious,1,5,0.85,1927,88,stable,Malware-C2,US,cybercrime,2
104650,ip,86,malicious,1,3,0.85,3335,162,decreasing,Scanner,CN,unknown,1
105700,ip,89,malicious,1,3,0.71,1542,62,increasing,Botnet,CN,cybercrime,5
106208,ip,85,malicious,1,5,0.75,2551,93,stable,Botnet,CN,cybercrime,5
111980,ip,90,malicious,1,5,0.82,2615,178,decreasing,Phishing,CN,APT,3
113692,ip,80,malicious,1,5,0.77,620,152,decreasing,Malware-C2,NL,cybercrime,5
114300,ip,67,suspicious,1,4,0.62,3383,73,increasing,Phishing,CN,cybercrime,3
116638,ip,91,malicious,1,4,0.54,668,88,decreasing,Botnet,RU,cybercrime,5
123225,ip,69,suspicious,1,2,0.65,2242,51,stable,Botnet,DE,cybercrime,5
123514,ip,79,malicious,1,4,0.81,240,61,decreasing,Phishing,CN,cybercrime,4
125974,ip,75,malicious,1,4,0.53,2697,133,increasing,Ransomware,US,cybercrime,5
127250,ip,72,malicious,1,4,0.94,1810,157,increasing,Scanner,RU,cybercrime,1
128980,ip,78,malicious,1,4,0.78,2457,95,stable,Ransomware,FR,unknown,1
130666,ip,91,malicious,1,5,0.53,1286,30,stable,Scanner,CN,unknown,1
136480,ip,64,suspicious,1,4,0.52,1214,90,decreasing,Phishing,DE,unknown,1
139189,ip,78,malicious,1,2,0.6,2436,73,increasing,Botnet,NL,hacktivist,1
148938,ip,80,malicious,1,4,0.4,3259,127,stable,Botnet,IR,cybercrime,4
175739,ip,76,malicious,1,2,0.69,937,127,stable,Scanner,NL,cybercrime,4
181223,ip,89,malicious,1,3,0.6,1729,140,increasing,Ransomware,US,hacktivist,1
181649,ip,78,malicious,1,2,0.86,2642,19,decreasing,Malware-C2,NL,cybercrime,1
182975,ip,91,malicious,1,5,0.69,1594,117,decreasing,Ransomware,IR,cybercrime,3
189691,ip,86,malicious,1,3,0.64,323,121,decreasing,Scanner,CN,unknown,1
192167,ip,79,malicious,1,4,0.43,800,135,stable,Ransomware,US,unknown,1
197939,ip,80,malicious,1,4,0.46,426,16,stable,Ransomware,CN,APT,4
209240,ip,81,malicious,1,4,0.91,1656,69,decreasing,Ransomware,FR,cybercrime,4
214294,ip,69,suspicious,1,2,0.72,1926,112,stable,Phishing,NL,hacktivist,1
220264,ip,99,malicious,1,4,0.73,223,109,increasing,Malware-C2,IR,cybercrime,4
226722,ip,89,malicious,1,3,0.42,733,157,stable,Phishing,RU,APT,5
227924,ip,67,suspicious,1,4,0.64,2178,19,increasing,Scanner,FR,cybercrime,1
240644,ip,86,malicious,1,5,0.81,3579,10,increasing,Phishing,NL,unknown,1
247721,ip,65,suspicious,1,3,0.65,737,148,stable,Botnet,DE,cybercrime,5
250567,ip,76,malicious,1,3,0.83,166,68,stable,Phishing,CN,cybercrime,4
257401,ip,74,malicious,1,2,0.44,275,138,stable,Ransomware,US,cybercrime,5
261096,ip,76,malicious,1,3,0.92,2766,83,stable,Ransomware,FR,cybercrime,2
268302,ip,75,malicious,1,3,0.57,1910,18,stable,Scanner,KP,cybercrime,4
269733,ip,72,malicious,1,2,0.42,2737,111,stable,Malware-C2,CN,unknown,1
275447,ip,75,malicious,1,2,0.62,1002,59,increasing,Phishing,CN,cybercrime,1
277538,ip,68,suspicious,1,2,0.7,1208,39,increasing,Phishing,RU,cybercrime,2
284374,ip,80,malicious,1,5,0.74,3581,116,decreasing,Ransomware,RU,APT,5
290673,ip,87,malicious,1,4,0.63,453,69,decreasing,Botnet,BR,cybercrime,5
291720,ip,80,malicious,1,3,0.43,3532,73,stable,Scanner,FR,cybercrime,1
292731,ip,75,malicious,1,4,0.65,1205,27,increasing,Botnet,RU,cybercrime,1
299423,ip,73,malicious,1,4,0.4,3188,28,stable,Ransomware,DE,unknown,1
303064,ip,85,malicious,1,4,0.78,1332,92,increasing,Phishing,DE,cybercrime,1
322946,ip,80,malicious,1,4,0.58,2598,15,increasing,Ransomware,BR,cybercrime,4
328501,ip,69,suspicious,1,2,0.49,2423,51,stable,Malware-C2,NL,hacktivist,1
340094,ip,89,malicious,1,3,0.48,342,139,increasing,Phishing,US,unknown,1
349301,ip,73,malicious,1,3,0.54,43,122,stable,Scanner,BR,APT,5
13,ip,37,clean,0,0,0.7,938,286,increasing,,DE,cybercrime,0
15,ip,55,suspicious,0,1,0.76,925,23,decreasing,,US,cybercrime,1
39,ip,37,clean,0,2,0.79,2591,470,stable,,CN,cybercrime,0
108,ip,60,suspicious,0,4,0.44,2721,43,increasing,,US,cybercrime,1
148,ip,48,suspicious,0,2,0.85,2886,25,stable,,DE,cybercrime,1
196,ip,36,clean,0,0,0.52,3118,716,increasing,,NL,cybercrime,0
209,ip,40,clean,0,1,0.45,2721,325,stable,,RU,cybercrime,0
286,ip,57,suspicious,0,3,0.56,1158,160,stable,,FR,hacktivist,1
