sha256,sandbox_verdict,malware_score,network_connections,dropped_files,registry_modifications,process_injections,c2_beaconing,evasion_detected,persistence_mechanism,lateral_movement_attempt,privilege_escalation,dns_requests_count,analysis_duration_s
22618,Clean,5,2,0,0,0,0,0,0,0,0,12,173
20,Clean,9,1,0,0,0,0,0,0,0,0,12,248
231,Clean,9,2,0,0,0,0,0,0,0,0,12,201
24629,Clean,11,0,0,0,0,0,0,0,0,0,2,82
44265,Suspicious,32,20,0,5,0,0,0,0,0,0,47,119
468,Clean,18,2,0,0,0,0,0,0,0,0,15,183
2574,Suspicious,37,18,0,4,0,0,0,0,0,0,60,251
10264,Malicious,89,6,5,12,1,1,1,0,0,1,75,195
1038,Clean,11,1,0,0,0,0,0,0,0,1,6,258
20388,Clean,0,0,0,0,0,0,0,0,0,0,13,181
237,Malicious,44,24,4,3,1,0,0,0,0,0,7,229
102521,Malicious,42,9,3,12,0,1,1,0,0,0,14,108
74,Clean,15,0,0,0,0,0,0,0,0,0,16,79
299,Suspicious,24,9,0,4,0,0,0,0,0,0,27,277
249,Clean,15,1,0,0,0,0,1,0,0,0,19,233
228,Suspicious,27,18,0,10,0,0,0,0,0,0,41,157
236,Suspicious,32,27,0,5,0,0,0,1,0,0,55,283
12231,Clean,8,1,0,0,0,0,0,0,0,0,16,278
243,Suspicious,26,18,0,8,0,0,0,0,0,0,68,85
16,Malicious,48,13,2,3,1,0,1,0,0,1,53,225
3729,Clean,13,0,0,0,0,0,0,0,1,0,8,228
7159,Suspicious,25,24,0,10,0,0,0,0,0,0,78,276
1578,Suspicious,34,7,0,8,0,0,0,0,0,0,10,235
7227,Clean,15,2,0,0,0,0,0,0,0,0,2,96
10499,Suspicious,22,12,0,1,0,0,0,0,0,0,26,181
359,Suspicious,30,11,0,6,0,0,0,0,0,0,63,77
533,Suspicious,31,16,0,12,0,0,0,0,0,0,64,117
1576,Malicious,51,24,4,10,0,0,1,1,1,0,66,245
11,Suspicious,28,26,0,7,0,0,0,1,0,0,22,61
21289,Clean,10,2,0,0,0,0,0,0,0,0,13,206
9218,Malicious,44,27,2,10,1,1,0,0,0,0,13,201
2869,Clean,8,2,0,0,0,0,0,0,0,0,8,161
284,Malicious,75,7,3,3,0,1,0,0,0,0,16,299
49,Suspicious,38,14,0,2,0,0,0,0,0,0,12,76
2508,Clean,12,1,0,0,0,0,0,1,0,0,17,167
1508,Malicious,42,13,5,6,1,0,0,0,0,0,8,116
224,Suspicious,24,12,0,12,0,0,0,0,0,0,6,117
946,Malicious,83,19,2,12,0,1,1,1,0,1,77,266
375,Suspicious,21,11,0,12,0,0,0,0,0,0,40,172
6635,Malicious,59,24,3,14,1,0,0,0,0,0,3,163
7699,Clean,11,1,0,0,0,0,0,0,0,0,19,123
1963,Suspicious,22,24,0,1,0,0,0,1,0,0,43,275
114643,Clean,6,0,0,0,0,0,0,0,0,0,13,60
8847,Clean,1,1,0,0,0,0,0,0,1,0,5,67
801,Clean,18,0,0,0,0,0,0,0,0,0,6,137
3927,Suspicious,28,13,0,4,0,0,0,0,0,0,60,283
136,Malicious,59,6,2,2,0,1,1,0,0,0,12,283
51741,Clean,0,0,0,0,0,0,1,0,0,0,3,196
22489,Clean,19,1,0,0,0,0,0,0,1,0,10,169
75363,Malicious,52,18,3,14,0,1,0,0,1,0,123,204
31051,Malicious,70,10,3,6,1,1,0,1,0,0,183,266
204,Clean,10,2,0,0,0,0,0,1,0,0,0,229
666,Suspicious,21,8,0,11,0,0,0,0,0,0,22,94
5771,Suspicious,22,5,0,13,0,0,0,0,0,0,24,63
5060,Clean,10,2,0,0,0,0,0,0,0,0,1,159
87469,Malicious,78,8,2,5,0,1,0,0,0,0,10,219
15109,Clean,6,1,0,0,0,0,0,0,0,0,12,104
112255,Clean,17,0,0,0,0,0,0,0,0,0,11,242
403,Clean,11,2,0,0,0,0,0,0,0,1,0,146
111461,Clean,15,0,0,0,0,0,0,0,0,0,10,223
54199,Clean,0,2,0,0,0,0,0,0,0,0,18,296
39771,Malicious,71,21,2,6,0,0,1,1,0,0,460,184
24,Malicious,93,26,5,12,1,1,0,1,1,0,364,163
3258,Suspicious,22,28,0,13,0,0,1,0,0,0,60,210
104,Malicious,47,5,4,9,1,1,0,0,0,0,7,284
32,Malicious,44,22,1,5,0,1,0,0,0,0,6,107
2720,Clean,14,2,0,0,0,0,0,0,0,0,1,104
809,Suspicious,30,17,0,2,0,0,0,0,0,1,5,290
2147,Malicious,67,12,2,11,0,0,0,1,1,1,110,85
1,Suspicious,30,28,0,5,0,0,0,0,0,0,78,113
49932,Clean,19,1,0,0,0,0,0,0,0,0,11,99
30775,Malicious,72,23,4,5,1,1,1,1,0,0,285,86
95269,Suspicious,26,10,0,13,0,0,0,0,0,0,62,234
1739,Suspicious,31,6,0,7,0,0,0,0,0,0,12,104
94959,Clean,4,1,0,0,0,0,0,0,0,0,4,187
18089,Malicious,80,27,1,11,0,1,1,1,1,0,83,168
31450,Suspicious,32,9,0,14,0,0,0,0,0,0,44,81
55,Malicious,53,9,2,13,1,0,0,1,0,1,266,67
36863,Malicious,80,18,4,3,0,0,1,0,0,0,287,256
3621,Clean,0,1,0,0,0,0,0,0,0,0,14,72
811,Malicious,79,24,5,3,0,1,1,0,0,0,336,128
11355,Malicious,81,14,3,12,1,0,1,0,1,1,337,90
470,Malicious,46,16,2,10,0,1,0,0,0,0,14,207
1429,Suspicious,35,19,0,1,0,0,0,0,0,0,76,297
1705,Clean,5,2,0,0,0,0,0,0,0,0,8,218
3714,Suspicious,40,15,0,13,0,0,1,0,0,0,34,194
3724,Malicious,88,21,3,5,1,1,0,1,0,0,135,122
5098,Clean,12,0,0,0,0,0,0,0,0,0,2,64
40,Clean,9,0,0,0,0,0,0,0,0,0,15,279
5633,Clean,8,0,0,0,0,0,0,0,0,0,13,221
272,Clean,18,2,0,0,0,0,0,0,0,0,15,199
10922,Clean,13,1,0,0,0,0,0,0,0,0,12,155
1065,Malicious,45,20,2,7,0,0,0,1,0,0,19,138
54,Clean,12,2,0,0,0,0,0,0,0,0,6,118
1062,Suspicious,27,23,0,14,0,0,0,0,0,0,6,243
77456,Suspicious,28,21,0,9,0,0,0,0,0,0,50,129
119,Malicious,42,25,2,13,1,1,0,0,0,0,13,69
47850,Malicious,51,20,1,2,0,1,0,0,1,0,201,153
26,Suspicious,33,29,0,9,0,0,0,0,0,0,26,76
9843,Clean,0,1,0,0,0,0,0,0,0,0,4,168
1636,Clean,8,0,0,0,0,0,0,0,0,0,2,180
16552,Clean,3,1,0,0,0,0,0,0,0,0,0,85
14671,Clean,6,0,0,0,0,0,0,0,0,0,1,161
124734,Malicious,84,25,5,12,1,1,1,0,0,0,356,116
1088,Clean,10,1,0,0,0,0,0,0,0,0,14,270
1396,Suspicious,40,6,0,4,0,0,0,0,0,0,43,60
1347,Suspicious,27,25,0,5,0,0,0,0,0,0,61,100
6257,Suspicious,27,25,0,1,0,0,0,0,0,0,39,82
19,Suspicious,32,17,0,8,0,0,0,0,0,0,20,240
66603,Clean,12,2,0,0,0,0,0,0,0,0,12,290
54576,Suspicious,27,6,0,6,0,0,0,0,0,0,13,227
7345,Clean,12,0,0,0,0,0,0,0,0,0,19,270
2291,Suspicious,31,21,0,14,0,0,0,0,0,0,40,129
63473,Malicious,67,22,3,1,1,0,0,1,0,0,216,149
35,Suspicious,38,13,0,8,0,0,0,0,0,0,41,97
17753,Clean,20,1,0,0,0,0,0,0,0,0,7,222
310,Malicious,58,21,4,3,0,1,0,1,0,0,15,259
4864,Suspicious,40,16,0,3,0,0,0,1,0,0,40,132
21444,Suspicious,25,18,0,3,0,0,0,0,0,0,55,78
3176,Clean,15,1,0,0,0,0,0,0,0,0,2,145
82,Malicious,78,28,4,2,1,1,1,0,1,0,64,170
2663,Clean,17,2,0,0,0,0,0,0,0,0,12,186
124220,Suspicious,34,28,0,2,0,0,0,1,0,0,40,198
156,Clean,14,1,0,0,0,0,0,0,0,0,10,129
46482,Clean,15,1,0,0,0,0,0,0,0,0,19,137
15365,Clean,10,1,0,0,0,0,0,0,0,0,11,220
7736,Malicious,44,23,2,11,1,1,0,0,0,0,8,139
135634,Clean,4,1,0,0,0,0,0,0,0,0,19,76
106351,Malicious,65,26,2,11,0,1,1,1,0,1,220,195
7523,Clean,5,0,0,0,0,0,0,0,0,0,19,217
110,Clean,7,1,0,0,0,0,0,0,0,1,18,69
4177,Suspicious,22,26,0,4,0,0,0,0,1,0,16,179
148,Clean,12,2,0,0,0,0,0,1,0,0,17,297
38784,Suspicious,30,8,0,7,0,0,0,0,0,0,32,111
74452,Suspicious,37,28,0,9,0,0,0,0,0,0,45,290
2489,Clean,0,0,0,0,0,0,0,0,0,0,17,195
59851,Suspicious,32,15,0,2,0,0,0,0,0,0,14,88
26080,Clean,20,2,0,0,0,0,0,0,0,0,14,75
941,Malicious,86,20,4,2,0,1,0,1,0,1,60,150
24477,Malicious,58,9,3,5,1,0,0,0,0,0,11,107
20490,Malicious,62,29,5,13,1,1,0,0,1,0,232,212
643,Suspicious,38,6,0,3,0,0,1,0,0,0,54,229
36983,Malicious,50,25,5,2,1,0,1,0,1,0,392,284
86006,Malicious,42,24,3,14,0,1,0,0,0,0,3,75
15,Clean,10,2,0,0,0,0,0,0,0,0,13,90
2350,Suspicious,24,20,0,2,0,0,0,0,0,0,58,281
125450,Malicious,49,15,4,11,1,1,0,0,0,0,15,175
52541,Malicious,77,24,4,7,0,0,0,0,0,0,11,80
10870,Suspicious,37,14,0,8,0,0,1,1,0,1,7,219
3698,Malicious,72,28,1,3,0,0,0,1,1,1,471,106
740,Clean,0,1,0,0,0,0,0,0,0,0,17,216
41,Clean,10,1,0,0,0,0,0,0,0,0,17,165
4,Suspicious,32,9,0,9,0,0,0,0,0,0,36,136
7970,Malicious,56,23,5,3,0,1,0,0,0,1,395,257
182,Suspicious,28,11,0,14,0,0,0,0,0,0,13,83
30770,Clean,14,0,0,0,0,0,0,0,0,0,9,114
39078,Clean,20,2,0,0,0,0,0,1,0,0,9,127
89150,Malicious,51,27,3,7,0,0,1,0,0,0,264,213
95640,Clean,1,1,0,0,0,0,0,0,0,0,14,203
262,Malicious,56,18,2,9,1,1,0,0,0,0,8,238
1085,Clean,18,0,0,0,0,0,0,0,0,0,11,83
121291,Suspicious,26,9,0,13,0,0,0,0,0,0,76,234
11414,Clean,12,2,0,0,0,0,0,0,0,0,15,95
1717,Clean,2,2,0,0,0,0,0,0,0,0,16,95
23,Suspicious,22,10,0,7,0,0,0,0,0,0,10,165
45,Clean,0,1,0,0,0,0,0,0,0,0,16,154
26344,Suspicious,21,8,0,1,0,0,0,0,0,0,32,165
39485,Malicious,84,28,2,7,0,0,1,1,1,0,76,209
171,Malicious,72,13,3,11,1,1,0,0,0,0,19,79
23917,Malicious,79,25,5,2,1,0,0,1,0,0,339,76
31617,Malicious,77,8,3,11,0,0,0,0,0,1,431,124
7066,Clean,0,0,0,0,0,0,0,0,0,0,4,239
16386,Malicious,77,21,1,11,0,1,0,1,0,0,76,102
4028,Suspicious,22,10,0,14,0,0,0,0,0,0,36,126
64074,Malicious,46,11,4,11,0,1,0,1,0,0,364,237
8941,Clean,7,2,0,0,0,0,0,1,0,0,16,69
59,Clean,20,1,0,0,0,0,0,0,0,0,2,141
25420,Clean,13,1,0,0,0,0,0,0,0,0,14,175
37467,Clean,0,1,0,0,0,0,0,0,0,0,3,216
23944,Malicious,83,29,1,6,1,1,0,1,0,0,231,172
5669,Clean,8,2,0,0,0,0,0,0,0,0,10,212
122531,Clean,18,1,0,0,0,0,0,0,0,0,5,156
1372,Clean,1,0,0,0,0,0,0,0,0,0,1,248
137002,Malicious,66,11,5,2,1,0,0,1,0,0,337,114
38,Suspicious,32,24,0,3,0,0,0,0,0,0,14,285
2659,Malicious,61,23,1,12,0,1,0,1,0,0,493,161
781,Malicious,56,26,2,12,0,1,1,1,0,0,103,248
415,Malicious,68,24,3,14,0,0,0,0,0,0,6,97
43221,Malicious,78,10,1,9,0,1,1,0,0,0,492,158
82341,Clean,4,0,0,0,0,0,0,0,0,0,15,119
2692,Clean,19,2,0,0,0,0,0,0,0,0,15,65
66149,Malicious,88,6,3,5,0,1,1,0,0,0,263,261
288,Clean,5,1,0,0,0,0,0,1,0,0,7,267
52565,Suspicious,31,24,0,12,0,0,0,0,0,0,35,118
159,Clean,11,1,0,0,0,0,0,0,0,0,2,149
3944,Suspicious,26,12,0,3,0,0,0,0,0,0,60,64
59030,Malicious,92,11,5,3,0,1,0,1,0,1,449,276
40820,Clean,0,0,0,0,0,0,0,0,0,0,7,74
12461,Malicious,42,7,4,1,0,0,0,0,0,0,19,211
137248,Suspicious,39,16,0,1,0,0,0,0,0,0,17,100
33,Suspicious,36,26,0,10,0,0,0,0,0,0,64,139
39532,Clean,0,0,0,0,0,0,0,0,0,0,4,240
528,Clean,11,0,0,0,0,0,0,0,0,0,4,129
6086,Suspicious,33,8,0,5,0,0,0,0,0,0,74,226
60328,Suspicious,29,15,0,7,0,0,0,0,0,0,8,80
6097,Malicious,86,25,3,8,0,1,1,1,0,1,430,189
7988,Clean,9,1,0,0,0,0,0,0,0,0,9,204
99940,Clean,2,2,0,0,0,0,0,0,0,0,10,140
33831,Suspicious,33,15,0,4,0,0,0,0,0,0,42,94
2793,Malicious,72,22,1,4,1,0,1,1,0,0,92,196
350,Suspicious,40,15,0,5,0,0,0,0,0,0,28,242
46317,Malicious,42,26,2,14,1,1,1,0,0,0,271,143
78449,Malicious,61,7,3,5,0,0,1,1,0,0,162,213
44421,Clean,1,1,0,0,0,0,0,0,0,0,18,117
6993,Suspicious,29,5,0,5,0,0,0,0,0,0,78,212
18994,Malicious,71,21,4,12,1,1,0,1,0,0,296,140
74789,Clean,12,2,0,0,0,0,0,0,0,0,2,296
77236,Suspicious,32,27,0,4,0,0,1,0,0,0,46,224
37,Clean,8,0,0,0,0,0,0,0,1,0,1,97
62,Suspicious,32,25,0,9,0,0,0,0,0,0,38,274
177,Suspicious,38,8,0,13,0,0,1,0,0,0,56,108
133,Clean,8,1,0,0,0,0,0,0,0,0,17,194
56,Suspicious,21,7,0,5,0,0,0,0,0,1,27,175
14,Clean,13,1,0,0,0,0,1,0,0,0,14,246
50441,Suspicious,28,20,0,10,0,0,0,0,0,0,51,118
13702,Malicious,74,9,1,12,0,1,1,1,0,0,87,206
103,Malicious,42,26,4,11,0,0,1,0,0,1,18,292
44416,Malicious,60,20,3,6,0,1,0,1,0,0,472,219
559,Malicious,62,23,3,8,0,0,1,0,0,0,382,134
570,Clean,13,2,0,0,0,0,0,0,0,0,11,185
498,Malicious,41,24,2,9,0,1,0,0,0,0,14,208
37564,Malicious,74,21,5,5,1,1,0,0,1,1,351,241
132223,Malicious,52,12,5,1,0,0,1,1,0,0,389,167
137,Suspicious,36,8,0,3,0,0,1,0,0,1,25,225
68164,Malicious,77,15,3,8,1,1,1,1,1,0,360,224
44630,Suspicious,31,16,0,4,0,0,0,0,0,1,51,140
51477,Malicious,63,10,3,3,0,1,0,0,0,0,9,65
12988,Clean,8,0,0,0,0,0,0,0,0,0,6,295
476,Suspicious,35,11,0,14,0,0,0,0,0,0,50,295
17973,Clean,17,2,0,0,0,0,1,0,0,0,19,140
105,Suspicious,24,13,0,1,0,0,0,1,0,0,43,175
219,Malicious,50,28,5,4,0,1,0,0,0,0,14,191
103798,Clean,14,2,0,0,0,0,0,0,0,0,8,181
124,Suspicious,29,14,0,5,0,0,0,0,0,0,69,187
124570,Clean,0,1,0,0,0,0,0,0,0,0,8,195
3734,Suspicious,25,17,0,5,0,0,0,0,0,0,20,156
7611,Clean,12,0,0,0,0,0,0,0,0,0,6,197
921,Suspicious,40,17,0,8,0,0,0,0,0,1,47,89
459,Clean,0,2,0,0,0,0,0,0,0,0,18,114
165,Suspicious,24,18,0,3,0,0,0,0,0,0,50,86
54813,Malicious,60,6,5,9,1,1,0,1,0,1,283,123
11398,Suspicious,24,9,0,13,0,0,0,0,0,0,25,150
38506,Clean,0,0,0,0,0,0,0,0,0,0,12,114
6851,Malicious,75,24,3,14,0,0,0,0,0,0,140,135
1321,Malicious,56,25,4,5,0,1,0,0,0,0,371,282
107577,Malicious,84,21,4,11,0,0,0,1,0,1,497,251
1630,Suspicious,29,16,0,7,0,0,0,0,0,0,54,123
23506,Suspicious,28,27,0,13,0,0,0,0,0,0,69,162
8441,Suspicious,31,17,0,1,0,0,0,0,0,0,33,96
2242,Clean,1,0,0,0,0,0,0,0,0,0,19,220
41982,Malicious,78,28,3,8,0,1,0,0,0,1,486,100
17594,Malicious,70,23,2,1,0,0,0,0,0,0,7,62
6755,Suspicious,25,14,0,14,0,0,0,0,0,0,10,122
903,Suspicious,21,17,0,7,0,0,1,1,0,0,72,173
8870,Clean,16,0,0,0,0,0,0,0,0,0,3,175
147,Suspicious,23,28,0,5,0,0,0,0,0,0,54,135
73707,Clean,7,2,0,0,0,0,0,0,0,0,11,266
61141,Clean,13,0,0,0,0,0,0,1,0,0,5,141
5472,Malicious,42,26,3,2,1,1,0,0,0,0,8,268
30588,Suspicious,37,21,0,6,0,0,0,1,0,0,45,105
410,Suspicious,21,22,0,8,0,0,0,0,0,0,19,299
3791,Clean,11,0,0,0,0,0,0,0,0,0,15,278
118718,Clean,4,2,0,0,0,0,0,0,0,0,10,252
6106,Suspicious,38,5,0,8,0,0,0,0,0,0,39,79
78089,Malicious,60,19,5,8,1,1,0,0,0,0,375,268
1180,Clean,0,0,0,0,0,0,0,0,0,0,0,275
20296,Suspicious,36,22,0,11,0,0,0,0,0,0,30,79
2262,Suspicious,32,10,0,5,0,0,0,0,0,0,19,205
76529,Clean,14,2,0,0,0,0,0,0,0,1,5,235
16978,Suspicious,21,15,0,2,0,0,0,0,0,0,70,137
15705,Clean,17,2,0,0,0,0,0,0,0,0,12,258
136581,Malicious,91,11,1,2,1,0,1,1,0,1,85,243
8243,Clean,11,0,0,0,0,0,1,1,0,0,5,155
52850,Clean,0,2,0,0,0,0,0,0,0,0,19,199
62190,Suspicious,31,22,0,3,0,0,0,0,0,0,12,268
28254,Malicious,79,6,3,11,1,0,1,1,1,1,363,60
834,Suspicious,28,27,0,1,0,0,0,0,0,1,9,190
105711,Suspicious,30,27,0,7,0,0,0,0,0,0,69,66
41693,Suspicious,23,12,0,7,0,0,0,0,0,0,42,83
9492,Suspicious,31,6,0,6,0,0,0,0,0,0,71,143
39723,Malicious,43,26,2,1,0,0,0,1,1,1,284,95
17,Suspicious,30,8,0,8,0,0,0,0,0,0,37,62
32504,Suspicious,33,23,0,2,0,0,1,0,0,1,30,77
55420,Clean,20,1,0,0,0,0,0,0,0,1,6,107
35197,Suspicious,30,20,0,9,0,0,0,0,0,0,79,113
645,Suspicious,32,18,0,8,0,0,0,0,0,0,64,239
1320,Malicious,84,17,3,3,1,1,1,0,0,0,183,188
12,Suspicious,32,8,0,2,0,0,0,0,0,0,62,107
1635,Malicious,52,6,1,10,0,0,0,0,0,0,2,74
1882,Clean,1,0,0,0,0,0,0,0,0,0,16,289
188,Clean,19,2,0,0,0,0,0,0,0,0,7,179
48284,Suspicious,35,6,0,1,0,0,0,0,0,0,17,175
26110,Suspicious,30,9,0,9,0,0,0,0,0,0,35,128
132830,Malicious,87,7,2,12,0,0,0,1,0,1,405,186
59137,Suspicious,37,25,0,6,0,0,1,1,1,0,72,202
913,Clean,0,2,0,0,0,0,0,0,0,0,0,148
611,Clean,16,0,0,0,0,0,0,1,0,0,10,149
4483,Suspicious,35,13,0,1,0,0,0,0,0,0,21,255
1354,Clean,16,1,0,0,0,0,0,0,0,0,18,276
43,Clean,20,1,0,0,0,0,0,1,0,0,19,185
66212,Malicious,64,5,4,10,0,0,0,0,0,0,3,231
12498,Malicious,44,24,4,13,1,1,0,0,0,0,5,171
31316,Suspicious,29,10,0,13,0,0,0,0,0,0,6,191
203,Malicious,56,20,2,13,1,0,1,1,0,1,397,71
63823,Suspicious,37,17,0,10,0,0,0,0,0,0,72,186
41846,Suspicious,37,13,0,1,0,0,0,0,0,0,6,253
93716,Suspicious,36,8,0,8,0,0,0,0,0,0,43,272
36637,Clean,17,1,0,0,0,0,0,0,0,0,7,190
4630,Suspicious,27,22,0,14,0,0,0,0,0,0,46,66
436,Suspicious,29,21,0,2,0,0,0,0,0,0,51,239
57074,Suspicious,34,7,0,7,0,0,0,0,0,1,59,217
18,Malicious,84,25,2,8,0,0,0,1,0,0,264,252
163,Malicious,78,13,1,11,1,1,1,0,1,0,436,106
44,Clean,5,2,0,0,0,0,0,0,0,0,17,212
4279,Suspicious,34,17,0,2,0,0,0,0,0,0,71,148
27307,Clean,8,1,0,0,0,0,0,0,0,0,8,169
3808,Clean,13,0,0,0,0,0,0,1,0,0,16,248
4837,Suspicious,28,12,0,11,0,0,0,0,0,0,54,80
1311,Suspicious,28,27,0,13,0,0,0,0,0,0,25,144
20410,Malicious,41,8,3,10,1,1,0,0,0,0,17,194
6,Suspicious,29,20,0,10,0,0,0,0,0,0,45,185
3818,Suspicious,21,9,0,10,0,0,0,0,0,0,33,231
90373,Clean,8,2,0,0,0,0,0,0,0,0,16,141
2618,Clean,17,0,0,0,0,0,0,0,0,0,14,160
37739,Clean,5,1,0,0,0,0,0,0,0,0,4,158
2447,Clean,19,2,0,0,0,0,0,0,0,0,11,154
849,Clean,14,0,0,0,0,0,0,0,0,0,12,237
126356,Clean,10,1,0,0,0,0,0,0,0,0,11,173
5702,Malicious,68,23,1,5,0,0,0,1,0,0,362,125
5275,Suspicious,21,23,0,10,0,0,0,0,0,0,16,100
3870,Suspicious,26,10,0,14,0,0,0,0,0,0,24,179
49731,Malicious,45,28,5,12,0,1,1,0,1,1,443,225
4386,Malicious,72,10,2,3,0,0,0,0,0,0,189,77
78242,Malicious,58,13,3,8,1,1,1,1,0,1,161,297
39,Malicious,42,9,2,11,0,1,0,0,0,0,242,98
9854,Clean,0,0,0,0,0,0,0,1,0,0,7,140
7541,Suspicious,27,22,0,2,0,0,0,0,0,0,24,198
79,Malicious,49,14,3,11,1,1,0,0,0,0,17,244
10751,Malicious,42,7,1,8,0,0,1,0,0,0,9,271
54497,Suspicious,28,27,0,9,0,0,0,0,0,0,61,84
51449,Clean,0,2,0,0,0,0,0,0,0,0,1,73
81905,Malicious,69,8,1,4,1,0,0,1,0,0,428,240
66844,Malicious,72,7,1,9,1,1,0,1,1,1,404,242
20824,Clean,1,1,0,0,0,0,0,0,0,0,13,260
1878,Clean,19,1,0,0,0,0,0,0,0,0,1,186
59637,Clean,2,0,0,0,0,0,0,0,0,0,12,178
46924,Malicious,90,13,3,11,1,1,1,1,1,1,337,65
840,Clean,16,1,0,0,0,0,0,0,0,1,0,194
86,Clean,20,0,0,0,0,0,0,0,0,0,15,221
993,Suspicious,30,6,0,7,0,0,0,0,0,0,55,118
940,Malicious,51,18,3,3,0,0,0,0,0,0,4,258
266,Clean,19,2,0,0,0,0,0,0,0,1,3,151
114860,Malicious,71,27,2,9,0,1,1,1,1,0,244,75
44639,Clean,14,2,0,0,0,0,0,0,0,0,10,125
