IncidentId,OrgId,IncidentGrade,first_seen,last_seen,nb_alerts,nb_evidences,nb_categories,top_category,mitre_techniques,nb_detectors,top_detector,top_alert_title,nb_entity_types,has_ip,has_file,has_account,has_device,has_email,sample_ip,sample_sha256,sample_filename,sample_device,sample_account,country,max_suspicion,os_family,threat_family,last_verdict,incident_duration_minutes,hour_of_day,day_of_week,is_weekend,is_business_hours
822,660,FalsePositive,2024-06-03 02:37:50+00:00,2024-06-14 03:54:37+00:00,431,1291,4,SuspiciousActivity,T1078;T1078.004|T1584|T1557;T1110;T1212;T1539,7,5,1633,8,1,1,1,1,1,360606,138268,289573,153085,179,242,Unknown,5,,Malicious,15916,2,0,0,0
827,153,TruePositive,2024-06-03 10:40:06+00:00,2024-06-13 12:42:07+00:00,178,1273,3,SuspiciousActivity,T1566.002,3,3,4,8,1,1,1,1,1,4462,138268,289573,153085,453297,242,Suspicious,5,,Suspicious,14522,10,0,0,1
847,57,BenignPositive,2024-06-04 19:57:20+00:00,2024-06-11 23:38:37+00:00,216,1221,3,Exfiltration,T1566.002,5,46,3107,9,1,1,1,1,1,360606,1492,1229,153085,453297,242,Unknown,5,,NoThreatsFound,10301,19,1,0,0
851,27,BenignPositive,2024-06-04 08:33:22+00:00,2024-06-08 11:45:52+00:00,234,1217,15,Execution,T1059.001|T1543.003|T1059.003|T1055.012|T1562.010,129,62,46,8,1,1,1,1,1,360606,146,36,153085,453297,242,Suspicious,5,Farfli,Suspicious,5952,8,1,0,1
892,153,TruePositive,2024-06-04 17:32:45+00:00,2024-06-16 00:01:50+00:00,192,1145,3,SuspiciousActivity,,3,3,4,7,1,1,1,1,1,360606,138268,289573,16709,453297,242,Suspicious,5,,Suspicious,16229,17,1,0,1
894,211,FalsePositive,2024-06-03 18:42:34+00:00,2024-06-12 22:17:50+00:00,16,78,3,InitialAccess,T1566|T1078;T1078.004,6,6,5,8,1,1,1,1,1,360606,138268,289573,153085,18549,242,Unknown,5,,Suspicious,13175,18,0,0,1
897,20,BenignPositive,2024-06-02 22:28:40+00:00,2024-06-12 13:29:53+00:00,16,1139,4,Impact,T1566.002,6,59,10,8,1,1,1,1,1,32827,138268,289573,153085,453297,242,Unknown,5,,Malicious,13861,22,6,1,0
927,27,BenignPositive,2024-06-03 02:56:35+00:00,2024-06-07 08:11:05+00:00,229,1082,7,LateralMovement,T1569.002|T1059.003|T1570|T1027.002;T1027.005;T1059.001;T1059.005;T1059.007;T1105|T1012;T1497.001,23,369,377,6,1,1,1,1,1,360606,138268,289573,5540,453297,242,Suspicious,0,,Suspicious,6074,2,0,0,0
945,502,TruePositive,2024-06-03 01:31:49+00:00,2024-06-11 22:00:40+00:00,63,968,3,InitialAccess,T1566.002|T1003;T1012;T1552.002,3,1,1,11,1,1,1,1,1,360606,138268,289573,153085,73347,242,Suspicious,5,,NoThreatsFound,12748,1,0,0,0
947,71,FalsePositive,2024-06-07 13:40:46+00:00,2024-06-11 20:52:48+00:00,8,1053,3,InitialAccess,T1041,4,98,38,8,1,1,1,1,1,37025,138268,289573,153085,453297,242,Unknown,5,,Unknown,6192,13,4,0,1
958,10,TruePositive,2024-05-20 00:19:46+00:00,2024-06-07 16:18:39+00:00,9,1032,3,Impact,T1548.004,3,12,52,6,1,1,1,1,1,804,138268,289573,153085,453297,242,Unknown,5,,Unknown,26878,0,0,0,0
966,109,BenignPositive,2024-06-07 15:33:38+00:00,2024-06-07 15:33:38+00:00,1,4,1,Exfiltration,,1,75,76448,2,1,1,1,1,1,360606,138268,289573,153085,453297,242,Unknown,5,,Unknown,0,15,4,0,1
972,52,BenignPositive,2024-05-22 15:35:30+00:00,2024-06-08 00:07:11+00:00,17,1023,3,CommandAndControl,T1568;T1008|T1566|T1568;T1573;T1008,4,99,327,6,1,1,1,1,1,121166,138268,289573,153085,453297,242,Unknown,5,,NoThreatsFound,23551,15,2,0,1
1058,61,FalsePositive,2024-06-06 11:26:32+00:00,2024-06-10 19:28:49+00:00,222,905,2,SuspiciousActivity,T1566,2,5,31,6,1,1,1,1,1,360606,138268,289573,153085,453297,242,Unknown,5,,Malicious,6242,11,3,0,1
1132,53,FalsePositive,2024-05-22 22:24:08+00:00,2024-06-16 13:16:48+00:00,9,824,5,InitialAccess,T1190;T1133|T1566|T1046;T1018|T1078;T1078.004|T1003;T1012;T1552.002,9,61,44,13,1,1,1,1,1,161831,138268,289573,153085,453297,242,Suspicious,5,,NoThreatsFound,35452,22,2,0,0
1158,21,BenignPositive,2024-06-10 21:26:48+00:00,2024-06-12 11:34:09+00:00,135,804,1,SuspiciousActivity,,1,3,4,5,1,1,1,1,1,51574,138268,289573,153085,453297,242,Suspicious,5,,Suspicious,2287,21,0,0,0
1192,74,BenignPositive,2024-06-03 10:07:11+00:00,2024-06-14 02:44:58+00:00,161,764,3,CommandAndControl,T1078;T1078.004|T1566.002|T1566,6,2,2,9,1,1,1,1,1,360606,0,0,153085,453297,242,Suspicious,5,,Suspicious,15397,10,0,0,1
1219,84,TruePositive,2024-06-03 20:05:14+00:00,2024-06-03 20:05:14+00:00,1,5,1,Exfiltration,,1,68,1803,4,1,1,1,1,1,360606,138268,289573,153085,122,242,Unknown,5,,Unknown,0,20,0,0,0
1300,373,TruePositive,2024-06-06 16:52:57+00:00,2024-06-12 23:21:46+00:00,79,673,7,CredentialAccess,T1003;T1003.002;T1003.004;T1012;T1021;T1090.001;T1112;T1489;T1543.003;T1559;T1569.002|T1078;T1078.004|T1003;T1003.002;T1003.004;T1012;T1021;T1021.002;T1039;T1090.001;T1112;T1489;T1543.003;T1559;T1569.002|T1003;T1003.002;T1003.004;T1012;T1021;T1090.001;T1112;T1559;T1569.002|T1003;T1003.002;T1003.004;T1012;T1021;T1090.001;T1112;T1489;T1543.003;T1559,8,315,314,9,1,1,1,1,1,2345,138268,289573,153085,453297,242,Suspicious,5,RegistryExfil,Suspicious,9028,16,3,0,1
1322,968,TruePositive,2024-06-03 20:06:56+00:00,2024-06-14 18:32:37+00:00,10,230,2,InitialAccess,T1566.002|T1078;T1078.004|T1566|T1098;T1078,4,1,1,9,1,1,1,1,1,360606,138268,289573,153085,453297,242,Unknown,5,,NoThreatsFound,15745,20,0,0,0
1503,44,BenignPositive,2024-05-21 07:57:27+00:00,2024-06-14 22:52:07+00:00,7,585,3,InitialAccess,T1566|T1133|T1078;T1078.004,5,8,7,10,1,1,1,1,1,360606,138268,289573,153085,453297,242,Unknown,5,,NoThreatsFound,35454,7,1,0,0
1522,558,FalsePositive,2024-06-12 19:55:04+00:00,2024-06-12 19:55:04+00:00,1,4,1,Exfiltration,,1,927,82057,3,1,1,1,1,1,360606,138268,289573,153085,14572,242,Unknown,5,,Unknown,0,19,2,0,0
1555,12,BenignPositive,2024-05-20 18:43:54+00:00,2024-06-12 16:40:07+00:00,4,512,4,Impact,T1566,4,16,1329,8,1,1,1,1,1,302,138268,289573,153085,453297,242,Suspicious,5,CustomCertEnterpriseBlock,Suspicious,32996,18,0,0,1
1563,4,FalsePositive,2024-05-21 20:05:38+00:00,2024-06-15 10:59:53+00:00,8,563,2,InitialAccess,T1133|T1566.002|T1566,5,8,7,7,1,1,1,1,1,360606,138268,289573,280,453297,242,Unknown,5,,NoThreatsFound,35454,20,1,0,0
1570,277,BenignPositive,2024-05-24 15:18:34+00:00,2024-06-11 20:20:46+00:00,81,567,7,CommandAndControl,T1189;T1071;T1203|T1078;T1098|T1052;T1567;T1537|T1098;T1114|T1078;T1110,8,3,4,7,1,1,1,1,1,17240,138268,289573,153085,453297,242,Suspicious,5,,Suspicious,26222,15,4,0,1
1594,105,BenignPositive,2024-06-08 16:06:00+00:00,2024-06-11 23:31:04+00:00,3,561,2,Discovery,T1087;T1087.002,2,27,18,4,1,1,1,1,1,360606,138268,289573,140970,453297,242,Unknown,5,,Unknown,4765,16,5,1,1
1773,1924,FalsePositive,2024-06-17 01:50:06+00:00,2024-06-17 01:50:06+00:00,1,4,1,InitialAccess,,1,19,15,4,1,1,1,1,1,2250,138268,289573,153085,453297,23,Unknown,5,,Unknown,0,1,0,0,0
1794,8,TruePositive,2024-06-15 12:44:13+00:00,2024-06-15 19:03:15+00:00,7,35,1,SuspiciousActivity,,1,3,4,5,1,1,1,1,1,360606,138268,289573,153085,8665,242,Suspicious,5,,Suspicious,379,12,5,1,1
1828,37,FalsePositive,2024-06-05 08:52:30+00:00,2024-06-06 12:12:07+00:00,21,532,1,Exfiltration,,6,97,1568,4,1,1,1,1,1,360606,138268,289573,153085,453297,242,Unknown,5,,Unknown,1639,8,2,0,1
1844,428,BenignPositive,2024-06-05 03:06:58+00:00,2024-06-13 03:08:33+00:00,4,22,3,InitialAccess,T1566.001|T1110,4,10,8,7,1,1,1,1,1,360606,138268,289573,153085,127660,242,Unknown,5,,Malicious,11521,3,2,0,0
1852,10,TruePositive,2024-05-25 14:36:34+00:00,2024-06-06 23:51:23+00:00,6,518,4,Impact,,5,12,85,7,1,1,1,1,1,218,138268,289573,153085,453297,242,Suspicious,5,,Suspicious,17834,14,5,1,1
1943,10,TruePositive,2024-05-23 10:12:48+00:00,2024-06-13 05:58:15+00:00,5,510,5,Impact,T1078;T1078.004|T1003;T1098,5,12,70,6,1,1,1,1,1,865,138268,289573,153085,453297,242,Unknown,5,,Unknown,29985,10,3,0,1
2000,6,BenignPositive,2024-05-24 02:45:43+00:00,2024-05-24 02:45:43+00:00,1,500,1,Impact,,1,17,58,1,1,1,1,1,1,129,138268,289573,153085,453297,242,Unknown,5,,Unknown,0,2,4,0,0
2024,10,TruePositive,2024-05-20 22:01:14+00:00,2024-06-12 06:27:38+00:00,4,507,4,Impact,T1078;T1078.004,4,12,695,7,1,1,1,1,1,1357,138268,289573,153085,453297,242,Suspicious,5,Bursted,Suspicious,32186,22,0,0,0
2032,14,BenignPositive,2024-05-24 00:05:44+00:00,2024-06-13 02:13:45+00:00,4,498,2,Impact,T1566|T1078;T1078.004,4,41,763,7,1,1,1,1,1,1749,138268,289573,153085,453297,242,Unknown,5,,Unknown,28928,0,4,0,0
2079,12,BenignPositive,2024-05-26 00:06:31+00:00,2024-06-15 00:18:21+00:00,5,512,3,Impact,T1566|T1021,4,16,1362,5,1,1,1,1,1,6844,138268,289573,153085,453297,242,Unknown,5,,Unknown,28811,0,6,1,0
2102,152,FalsePositive,2024-05-22 21:19:36+00:00,2024-06-12 03:57:54+00:00,3,9,3,CredentialAccess,T1528|T1568;T1573;T1008,3,4,3,6,1,1,1,1,1,72098,138268,289573,153085,453297,6,Unknown,5,,Unknown,29198,21,2,0,0
2103,12,BenignPositive,2024-06-02 05:21:44+00:00,2024-06-14 18:19:46+00:00,5,511,4,Impact,T1566,5,16,1255,6,1,1,1,1,1,17551,138268,289573,153085,453297,242,Unknown,5,,Unknown,18058,5,6,1,0
2125,12,BenignPositive,2024-05-30 18:08:01+00:00,2024-06-14 02:58:59+00:00,2,504,2,Impact,T1078;T1078.004,2,16,411,4,1,1,1,1,1,1979,138268,289573,153085,453297,242,Unknown,5,,Unknown,20690,18,3,0,1
2126,52,BenignPositive,2024-06-05 02:48:43+00:00,2024-06-10 15:36:47+00:00,3,7,3,InitialAccess,,3,25,17,4,1,1,1,1,1,360606,138268,289573,153085,207615,242,Unknown,5,,Unknown,7968,2,2,0,0
2152,12,BenignPositive,2024-06-02 20:05:47+00:00,2024-06-10 21:18:07+00:00,5,511,4,Impact,T1110,5,16,1348,6,1,1,1,1,1,13283,138268,289573,153085,453297,242,Suspicious,5,,Suspicious,11592,20,6,1,0
2164,10,TruePositive,2024-05-22 19:42:00+00:00,2024-06-13 05:48:19+00:00,4,509,4,Impact,,4,12,704,6,1,1,1,1,1,12161,138268,289573,153085,453297,242,Unknown,5,,Unknown,30846,19,2,0,0
2206,12,BenignPositive,2024-05-31 01:33:23+00:00,2024-06-07 21:33:40+00:00,3,508,3,Impact,T1110,3,16,51,5,1,1,1,1,1,2445,138268,289573,153085,453297,242,Unknown,5,,Unknown,11280,1,4,0,0
2272,1973,BenignPositive,2024-05-25 21:21:50+00:00,2024-06-13 01:49:39+00:00,4,507,3,Impact,,4,12,394,4,1,1,1,1,1,360606,138268,289573,153085,173552,242,Unknown,5,,Unknown,26187,21,5,1,0
2281,12,BenignPositive,2024-05-24 08:39:49+00:00,2024-06-05 05:46:50+00:00,4,509,3,Impact,T1078;T1078.004|T1590,4,16,1419,3,1,1,1,1,1,906,138268,289573,153085,453297,242,Unknown,5,,Unknown,17107,8,4,0,1
2292,440,TruePositive,2024-06-03 03:02:26+00:00,2024-06-14 04:27:17+00:00,18,165,4,Exfiltration,T1566.002|T1078;T1078.004|T1566,13,265,254,12,1,1,1,1,1,360606,138268,289573,153085,453297,242,Suspicious,5,Wacatac,Malicious,15924,3,0,0,0
2296,506,FalsePositive,2024-06-05 07:40:32+00:00,2024-06-16 03:25:32+00:00,3,8,2,InitialAccess,,3,4,3,6,1,1,1,1,1,360606,138268,289573,153085,295101,242,Unknown,5,,Unknown,15585,7,2,0,0
2313,6,BenignPositive,2024-05-20 01:04:37+00:00,2024-06-13 17:56:00+00:00,3,507,3,Impact,T1566.002,3,17,725,6,1,1,1,1,1,108631,138268,289573,153085,453297,242,Unknown,5,,Unknown,35571,1,0,0,0
2319,4,FalsePositive,2024-05-31 03:58:13+00:00,2024-06-06 17:04:43+00:00,3,501,2,InitialAccess,T1133|T1087;T1069;T1482;T1087.002;T1069.002|T1566.001,3,8,7,7,1,1,1,1,1,360606,138268,289573,147,453297,242,Unknown,5,,NoThreatsFound,9426,3,4,0,0
2368,6,BenignPositive,2024-05-23 21:17:12+00:00,2024-06-14 22:44:21+00:00,2,505,2,Impact,,2,17,1351,5,1,1,1,1,1,13847,138268,289573,153085,453297,242,Suspicious,5,,Suspicious,31767,21,3,0,0
2399,683,FalsePositive,2024-06-03 20:56:20+00:00,2024-06-03 20:56:20+00:00,1,4,1,InitialAccess,T1078;T1078.004,1,0,0,4,1,1,1,1,1,360606,138268,289573,153085,453297,242,Unknown,5,,Unknown,0,20,0,0,0
2419,12,BenignPositive,2024-05-21 23:01:11+00:00,2024-05-21 23:01:11+00:00,1,500,1,Impact,,1,16,1334,1,1,1,1,1,1,1749,138268,289573,153085,453297,242,Unknown,5,,Unknown,0,23,1,0,0
2436,1810,FalsePositive,2024-05-26 03:26:47+00:00,2024-06-14 13:22:17+00:00,6,499,2,InitialAccess,T1566|T1133,6,8,7,8,1,1,1,1,1,360606,28156,49,153085,453297,242,Unknown,5,,NoThreatsFound,27955,3,6,1,0
2473,6,BenignPositive,2024-05-26 21:36:31+00:00,2024-05-26 21:36:31+00:00,1,500,1,Impact,,1,17,58,1,1,1,1,1,1,19099,138268,289573,153085,453297,242,Unknown,5,,Unknown,0,21,6,1,0
2562,4,FalsePositive,2024-05-30 09:51:20+00:00,2024-06-13 22:40:28+00:00,6,493,1,InitialAccess,T1133|T1566,4,8,7,7,1,1,1,1,1,360606,138268,289573,126,453297,242,Unknown,5,,Unknown,20929,9,3,0,1
2570,198,BenignPositive,2024-06-10 10:06:07+00:00,2024-06-13 23:52:35+00:00,10,459,3,SuspiciousActivity,T1566|T1110;T1110.001,6,119,99,7,1,1,1,1,1,360606,138268,289573,153085,4314,242,Unknown,5,,Unknown,5146,10,0,0,1
2619,4,FalsePositive,2024-05-29 00:55:40+00:00,2024-06-14 20:21:57+00:00,5,478,2,InitialAccess,T1133|T1078;T1078.004,4,8,7,5,1,1,1,1,1,360606,138268,289573,465,453297,242,Unknown,5,,Unknown,24206,0,2,0,0
2635,87,FalsePositive,2024-06-13 03:50:10+00:00,2024-06-14 03:55:40+00:00,94,484,1,CommandAndControl,,1,2,2,4,1,1,1,1,1,360606,84,1,153085,453297,242,Suspicious,5,,Suspicious,1445,3,3,0,0
2643,29,BenignPositive,2024-06-04 13:34:34+00:00,2024-06-07 22:44:45+00:00,2,483,2,Persistence,T1078;T1098,2,54,33,4,1,1,1,1,1,360606,138268,289573,153085,283214,242,Unknown,5,,Unknown,4870,13,1,0,1
2661,57,BenignPositive,2024-06-04 19:01:12+00:00,2024-06-04 19:01:12+00:00,1,4,1,Exfiltration,,1,46,822,4,1,1,1,1,1,360606,138268,289573,153085,970,242,Unknown,5,,Unknown,0,19,1,0,0
2698,4,FalsePositive,2024-05-23 23:09:15+00:00,2024-06-06 15:43:22+00:00,2,465,1,InitialAccess,T1133|T1566,2,8,7,4,1,1,1,1,1,360606,138268,289573,334,453297,242,Unknown,5,,Unknown,19714,23,3,0,0
2763,69,FalsePositive,2024-06-14 08:39:16+00:00,2024-06-14 08:39:16+00:00,1,4,1,InitialAccess,,1,19,15,4,1,1,1,1,1,360606,138268,289573,153085,453297,242,Unknown,5,,Unknown,0,8,4,0,1
2861,461,FalsePositive,2024-06-06 04:25:15+00:00,2024-06-13 19:01:11+00:00,126,413,3,InitialAccess,T1566|T1112;T1547.001,5,11,9,9,1,1,1,1,1,360606,138268,289573,153085,44,242,Suspicious,5,SuspiciousFileInRunKey,Malicious,10955,4,3,0,0
2880,974,BenignPositive,2024-06-05 01:47:59+00:00,2024-06-14 00:23:48+00:00,6,440,3,Discovery,T1087;T1087.002|T1566.002|T1078;T1136;T1087;T1078.004;T1136.003;T1087.004|T1078;T1078.004,6,27,18,9,1,1,1,1,1,360606,138268,289573,126941,453297,242,Unknown,5,,NoThreatsFound,12875,1,2,0,0
2964,345,TruePositive,2024-05-23 09:37:03+00:00,2024-06-12 21:27:38+00:00,15,437,5,Impact,T1566|T1087.002|T1003;T1012;T1552.002,8,29,20,12,1,1,1,1,1,360606,138268,289573,153085,14590,242,Suspicious,5,,NoThreatsFound,29510,9,3,0,1
3048,6,BenignPositive,2024-05-31 23:56:43+00:00,2024-05-31 23:56:43+00:00,1,422,1,Impact,,1,17,793,1,1,1,1,1,1,791,138268,289573,153085,453297,242,Unknown,5,,Unknown,0,23,4,0,0
3061,198,BenignPositive,2024-05-25 06:32:57+00:00,2024-06-11 22:33:14+00:00,9,416,4,SuspiciousActivity,T1566|T1078;T1078.004|T1110;T1110.001;T1110.003,5,119,99,8,1,1,1,1,1,360606,138268,289573,153085,16317,242,Unknown,5,,NoThreatsFound,25440,6,5,1,0
3113,7,FalsePositive,2024-05-26 02:46:51+00:00,2024-06-14 20:41:22+00:00,5,412,3,Impact,T1566.002,5,21,888,7,1,1,1,1,1,3840,138268,289573,153085,453297,242,Unknown,5,,NoThreatsFound,28434,2,6,1,0
3114,7,FalsePositive,2024-05-12 20:13:22+00:00,2024-06-12 22:14:38+00:00,17,412,6,Impact,T1562.001;T1562.006|T1573;T1105;T1104;T0885;T1567|T1566,9,22,10,10,1,1,1,1,1,17050,138268,289573,153085,453297,242,Suspicious,5,,Suspicious,44761,20,6,1,0
3342,16,BenignPositive,2024-06-06 02:40:11+00:00,2024-06-10 07:31:57+00:00,2,6,2,Execution,,2,9,37,4,1,1,1,1,1,360606,138268,289573,153085,0,242,Unknown,5,,Unknown,6051,2,3,0,0
3345,57,BenignPositive,2024-06-04 18:45:03+00:00,2024-06-14 23:29:22+00:00,61,383,2,Exfiltration,T1566|T1078;T1078.004,3,46,3424,9,1,1,1,1,1,360606,138268,289573,1184,453297,242,Unknown,5,,NoThreatsFound,14684,18,1,0,1
3363,1167,TruePositive,2024-06-11 03:46:17+00:00,2024-06-17 04:53:36+00:00,42,380,1,InitialAccess,T1566|T1078;T1078.004,3,6,5,7,1,1,1,1,1,360606,138268,289573,153085,453297,242,Unknown,5,,NoThreatsFound,8707,3,1,0,0
3457,535,TruePositive,2024-05-29 20:40:24+00:00,2024-06-11 05:21:37+00:00,6,34,3,CommandAndControl,T1566.002|T1204,3,251,234,7,1,1,1,1,1,360606,138268,289573,153085,453297,242,Unknown,5,,NoThreatsFound,17801,20,2,0,0
3469,7,FalsePositive,2024-06-01 02:34:16+00:00,2024-06-13 05:22:56+00:00,4,366,2,Impact,,4,21,889,4,1,1,1,1,1,7388,138268,289573,153085,453297,242,Unknown,5,,Unknown,17448,2,5,1,0
3498,46,FalsePositive,2024-06-03 14:47:07+00:00,2024-06-03 14:47:07+00:00,1,353,1,CredentialAccess,T1110,1,800,1112,1,1,1,1,1,1,360606,138268,289573,153085,453297,242,Unknown,5,,Unknown,0,14,0,0,1
3503,357,FalsePositive,2024-06-10 17:45:00+00:00,2024-06-10 17:45:00+00:00,1,2,1,Discovery,T1046;T1018,1,787,1076,1,1,1,1,1,1,360606,138268,289573,1885,453297,242,Unknown,5,,Unknown,0,17,0,0,1
